TaxonName,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Abronia alpina,Ramshaw Meadows abronia,,,,,FC on 20040504; removed from FC list on 20151008.
Acanthomintha duttonii,San Mateo thorn-mint,SE,197907XX,FE,19850918,"Scientific name at time of listing:
Acanthomintha obovata ssp.
duttonii"
Acanthomintha ilicifolia,San Diego thorn-mint,SE,19820117,FT,19981013,
"Acanthoscyphus parishii var.
goodmaniana",Cushenbury oxytheca,,,FE,19940824,"Scientific name at time of listing:
Oxytheca parishii var. goodmaniana"
"Acmispon argophyllus var.
adsurgens",San Clemente Island bird's-foot trefoil,SE,197911XX,,,"Scientific name at time of listing:
Lotus argophyllus var. adsurgens"
"Acmispon argophyllus var.
niveus",Santa Cruz Island bird's- foot trefoil,SE,198108XX,,,"Scientific name at time of listing:
Lotus argophyllus var. niveus"
"Acmispon dendroideus var.
traskiae",San Clemente Island lotus,SE,198204XX,"FT
FE","20130726
19770912","Scientific name at time of listing:
Lotus dendroideus var. traskiae"
"Agrostis blasdalei var.
marinensis",Blasdale's bent grass,"Delisted
SR","200804XX
197811XX",,,Current taxonomic treatment no longer recognizes varieties within A. blasdalei.
Allium munzii,Munz's onion,ST,199001XX,FE,19981013,
Allium yosemitense,Yosemite onion,SR,198207XX,,,
"Alopecurus aequalis var.
sonomensis",Sonoma alopecurus,,,FE,19971022,
Ambrosia pumila,San Diego ambrosia,,,FE,20020702,
Amsinckia grandiflora,large-flowered fiddleneck,SE,198204XX,FE,19850508,
Arabis mcdonaldiana,McDonald's rockcress,SE,197907XX,FE,19780929,
"Arctostaphylos bakeri ssp.
bakeri",Baker's manzanita,SR,197909XX,,,"Listing status includes the entire species, A. bakeri."
"Arctostaphylos bakeri ssp.
sublaevis",The Cedars manzanita,SR,197909XX,,,"Listing status includes the entire species, A. bakeri."
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Arctostaphylos confertiflora,"Santa Rosa Island
manzanita",,,FE,19970731,
Arctostaphylos densiflora,Vine Hill manzanita,SE,198108XX,,,
"Arctostaphylos edmundsii var.
parvifolia",Little Sur manzanita,"Delisted
SR","200804XX
198108XX",,,Current taxonomic treatment no longer recognizes varieties within A. edmundsii.
Arctostaphylos franciscana,Franciscan manzanita,,,FE,20121005,
"Arctostaphylos glandulosa
ssp. crassifolia",Del Mar manzanita,,,FE,19961007,
"Arctostaphylos hookeri ssp.
hearstiorum",Hearsts' manzanita,SE,197909XX,,,
Arctostaphylos imbricata,San Bruno Mountain manzanita,SE,197909XX,,,
"Arctostaphylos montana ssp.
ravenii",Presidio manzanita,SE,197811XX,FE,19791129,"Scientific name at time of listing:
Arctostaphylos hookeri var. ravenii"
Arctostaphylos morroensis,Morro manzanita,,,FT,19941215,
Arctostaphylos myrtifolia,Ione manzanita,,,FT,19990526,
Arctostaphylos pacifica,Pacific manzanita,SE,197909XX,,,
Arctostaphylos pallida,pallid manzanita,SE,197911XX,FT,19980422,
Arenaria paludicola,marsh sandwort,SE,199002XX,FE,19930803,
Astragalus agnicidus,Humboldt milk-vetch,SE,198204XX,,,
Astragalus albens,Cushenbury milk-vetch,,,FE,19940824,
Astragalus brauntonii,Braunton's milk-vetch,,,FE,19970129,
Astragalus claranus,Clara Hunt's milk-vetch,ST,199001XX,FE,19971022,"Scientific name at time of listing:
Astragalus clarianus"
Astragalus jaegerianus,Lane Mountain milk- vetch,,,FE,19981006,
Astragalus johannis-howellii,Long Valley milk-vetch,SR,198207XX,,,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
"Astragalus lentiginosus var.
coachellae",Coachella Valley milk- vetch,,,FE,19981006,
"Astragalus lentiginosus var.
piscinensis",Fish Slough milk-vetch,,,FT,19981006,
"Astragalus lentiginosus var.
sesquimetralis",Sodaville milk-vetch,SE,197909XX,,,
