usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	original_sciname	acceptedusagekey	note
2293077	Haliotis cracherodii Leach, 1814	species	ACCEPTED	EXACT	Haliotis cracherodii	99	Animalia	Mollusca	Lepetellida	Haliotidae	Haliotis	Haliotis cracherodii	1	52	225	9799313	3245014	2293068	2293077	FALSE	Gastropoda	Haliotis cracherodii	NA	NA
2293070	Haliotis sorenseni Bartsch, 1940	species	ACCEPTED	EXACT	Haliotis sorenseni	99	Animalia	Mollusca	Lepetellida	Haliotidae	Haliotis	Haliotis sorenseni	1	52	225	9799313	3245014	2293068	2293070	FALSE	Gastropoda	Haliotis sorenseni	NA	NA
2296175	Helminthoglypta walkeriana (Hemphill, 1911)	species	ACCEPTED	EXACT	Helminthoglypta walkeriana	99	Animalia	Mollusca	Stylommatophora	Xanthonychidae	Helminthoglypta	Helminthoglypta walkeriana	1	52	225	1456	6528	2296121	2296175	FALSE	Gastropoda	Helminthoglypta walkeriana	NA	NA
10040426	Monadenia infumata setosa Talmadge, 1952	subspecies	SYNONYM	EXACT	Monadenia infumata setosa	98	Animalia	Mollusca	Stylommatophora	Xanthonychidae	Monadenia	Monadenia setosa	1	52	225	1456	6528	2297136	5191178	TRUE	Gastropoda	Monadenia infumata setosa	5191178	NA
2235369	Branchinecta conservatio Eng, Belk & Eriksen, 1990	species	ACCEPTED	EXACT	Branchinecta conservatio	99	Animalia	Arthropoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta conservatio	1	54	281	544	3675	2235347	2235369	FALSE	Branchiopoda	Branchinecta conservatio	NA	NA
2235355	Branchinecta longiantenna Eng, Belk & Eriksen, 1990	species	ACCEPTED	EXACT	Branchinecta longiantenna	99	Animalia	Arthropoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta longiantenna	1	54	281	544	3675	2235347	2235355	FALSE	Branchiopoda	Branchinecta longiantenna	NA	NA
2235372	Branchinecta lynchi Eng, Belk & Eriksen, 1990	species	ACCEPTED	EXACT	Branchinecta lynchi	99	Animalia	Arthropoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi	1	54	281	544	3675	2235347	2235372	FALSE	Branchiopoda	Branchinecta lynchi	NA	NA
2235356	Branchinecta sandiegonensis Fugate, 1993	species	ACCEPTED	EXACT	Branchinecta sandiegonensis	99	Animalia	Arthropoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta sandiegonensis	1	54	281	544	3675	2235347	2235356	FALSE	Branchiopoda	Branchinecta sandiegonensis	NA	NA
2235165	Streptocephalus woottoni Eng, Belk & Eriksen, 1990	species	ACCEPTED	EXACT	Streptocephalus woottoni	99	Animalia	Arthropoda	Anostraca	Streptocephalidae	Streptocephalus	Streptocephalus woottoni	1	54	281	544	3679	2235108	2235165	FALSE	Branchiopoda	Streptocephalus woottoni	NA	NA
8738801	Streptocephalus watsoni Packard, 1877	species	SYNONYM	FUZZY	Streptocephalus watsoni	9	Animalia	Arthropoda	Anostraca	Streptocephalidae	Streptocephalus	Streptocephalus texanus	1	54	281	544	3679	2235108	2235136	TRUE	Branchiopoda	Streptocephalus woottoni	2235136	Similarity: name=5; authorship=0; classification=-2; rank=6; status=0
