"","obsYear","treatmentGroup","desert","totalObs","ndvi","area_km2","st_totalObs"
"1",2000,"burned","Mojave",1,0.2324562412992,721.501198281647,1.38599908410635
"2",2000,"never burned","Mojave",95,0.109739829813242,73161.4248180358,1.29849849475021
"3",2000,"never burned","San Joaquin",41,0.369834265171735,26537.1354658036,1.5450047369594
"4",2000,"never burned","Sonoran",37,0.132827835776835,27788.5110422463,1.33148551729705
"5",2001,"burned","Mojave",2,0.239174953770042,721.501198281647,2.77199816821271
"6",2001,"never burned","Mojave",62,0.124131123836754,73161.4248180358,0.84744112288961
"7",2001,"never burned","San Joaquin",56,0.365446132989133,26537.1354658036,2.11025037243236
"8",2001,"never burned","Sonoran",61,0.141474320571692,27788.5110422463,2.19515179878702
"9",2002,"burned","Mojave",4,0.205005250027501,721.501198281647,5.54399633642542
"10",2002,"never burned","Mojave",148,0.106493849670542,73161.4248180358,2.02292397076875
"11",2002,"never burned","San Joaquin",56,0.3522846809136,26537.1354658036,2.11025037243236
"12",2002,"never burned","Sonoran",86,0.135388340766515,27788.5110422463,3.09480417533908
"13",2003,"burned","Mojave",2,0.248952349799622,721.501198281647,2.77199816821271
"14",2003,"burned","San Joaquin",2,0.364114317100642,399.409033350877,5.00739801306151
"15",2003,"burned","Sonoran",1,0.246342570548424,218.863206049972,4.56906401970405
"16",2003,"never burned","Mojave",150,0.129836560405979,73161.4248180358,2.05026078118454
"17",2003,"never burned","San Joaquin",63,0.377407610854321,26537.1354658036,2.3740316689864
"18",2003,"never burned","Sonoran",97,0.144883037942219,27788.5110422463,3.49065122102199
"19",2004,"burned","Mojave",1,0.238892096646894,721.501198281647,1.38599908410635
"20",2004,"burned","Sonoran",2,0.237348193423743,218.863206049972,9.13812803940809
"21",2004,"never burned","Mojave",139,0.133918084682502,73161.4248180358,1.89990832389767
"22",2004,"never burned","San Joaquin",52,0.376622462643408,26537.1354658036,1.9595182029729
"23",2004,"never burned","Sonoran",86,0.143292682250892,27788.5110422463,3.09480417533908
"24",2005,"burned","Mojave",4,0.274455588363665,721.501198281647,5.54399633642542
"25",2005,"burned","San Joaquin",2,0.394649245193132,399.409033350877,5.00739801306151
"26",2005,"never burned","Mojave",118,0.173643898411142,73161.4248180358,1.61287181453184
"27",2005,"never burned","San Joaquin",83,0.404784243094247,26537.1354658036,3.12769251628367
"28",2005,"never burned","Sonoran",92,0.181760726334008,27788.5110422463,3.31072074571157
"29",2006,"burned","Sonoran",1,0.235308333477221,218.863206049972,4.56906401970405
"30",2006,"never burned","Mojave",201,0.133301308222772,73161.4248180358,2.74734944678728
"31",2006,"never burned","San Joaquin",143,0.377612393916494,26537.1354658036,5.38867505817548
"32",2006,"never burned","Sonoran",122,0.14659615444286,27788.5110422463,4.39030359757404
"33",2007,"burned","Mojave",3,0.198073476366218,721.501198281647,4.15799725231906
"34",2007,"never burned","Mojave",303,0.114108846168981,73161.4248180358,4.14152677799277
"35",2007,"never burned","San Joaquin",115,0.319747404039788,26537.1354658036,4.33354987195931
"36",2007,"never burned","Sonoran",126,0.13672073853703,27788.5110422463,4.53424797782237
"37",2008,"burned","Mojave",7,0.230435496269091,721.501198281647,9.70199358874448
"38",2008,"burned","San Joaquin",1,0.334001384758801,399.409033350877,2.50369900653075
"39",2008,"never burned","Mojave",261,0.125088657788895,73161.4248180358,3.5674537592611
"40",2008,"never burned","San Joaquin",129,0.355514039012153,26537.1354658036,4.86111246506739
"41",2008,"never burned","Sonoran",159,0.143396571058685,27788.5110422463,5.72178911487109
"42",2009,"burned","Mojave",5,0.240728998551061,721.501198281647,6.92999542053177
"43",2009,"burned","San Joaquin",5,0.335180745226086,399.409033350877,12.5184950326538
"44",2009,"burned","Sonoran",1,0.246176563739515,218.863206049972,4.56906401970405
"45",2009,"never burned","Mojave",271,0.131191396939429,73161.4248180358,3.70413781134007
"46",2009,"never burned","San Joaquin",283,0.348728106369415,26537.1354658036,10.6643009892564
"47",2009,"never burned","Sonoran",149,0.143741245319351,27788.5110422463,5.36192816425027
"48",2010,"burned","Mojave",15,0.246609619252128,721.501198281647,20.7899862615953
"49",2010,"burned","San Joaquin",2,0.401907666035166,399.409033350877,5.00739801306151
"50",2010,"burned","Sonoran",4,0.259938651339336,218.863206049972,18.2762560788162
"51",2010,"never burned","Mojave",362,0.137270817703012,73161.4248180358,4.94796268525869
"52",2010,"never burned","San Joaquin",372,0.408463488315864,26537.1354658036,14.0180917597292
"53",2010,"never burned","Sonoran",277,0.154587191198512,27788.5110422463,9.96814833219681
"54",2011,"burned","Mojave",5,0.246315005389494,721.501198281647,6.92999542053177
"55",2011,"burned","San Joaquin",3,0.362465852405961,399.409033350877,7.51109701959226
"56",2011,"burned","Sonoran",3,0.265594934160791,218.863206049972,13.7071920591121
"57",2011,"never burned","Mojave",309,0.141780138174503,73161.4248180358,4.22353720924015
