County,FIPS,MapDate,DSCI
Fresno County,6019,20000104,98
Fresno County,6019,20000111,100
Fresno County,6019,20000118,100
Fresno County,6019,20000125,100
Fresno County,6019,20000201,79
Fresno County,6019,20000208,9
Fresno County,6019,20000215,9
Fresno County,6019,20000222,0
Fresno County,6019,20000229,0
Fresno County,6019,20000307,0
Fresno County,6019,20000314,0
Fresno County,6019,20000321,0
Fresno County,6019,20000328,0
Fresno County,6019,20000404,0
Fresno County,6019,20000411,0
Fresno County,6019,20000418,0
Fresno County,6019,20000425,0
Fresno County,6019,20000502,0
Fresno County,6019,20000509,0
Fresno County,6019,20000516,0
Fresno County,6019,20000523,0
Fresno County,6019,20000530,0
Fresno County,6019,20000606,0
Fresno County,6019,20000613,0
Fresno County,6019,20000620,0
Fresno County,6019,20000627,0
Fresno County,6019,20000704,0
Fresno County,6019,20000711,0
Fresno County,6019,20000718,0
Fresno County,6019,20000725,0
Fresno County,6019,20000801,0
Fresno County,6019,20000808,0
Fresno County,6019,20000815,0
Fresno County,6019,20000822,0
Fresno County,6019,20000829,0
Fresno County,6019,20000905,0
Fresno County,6019,20000912,0
Fresno County,6019,20000919,0
Fresno County,6019,20000926,0
Fresno County,6019,20001003,0
Fresno County,6019,20001010,0
Fresno County,6019,20001017,0
Fresno County,6019,20001024,0
Fresno County,6019,20001031,0
Fresno County,6019,20001107,0
Fresno County,6019,20001114,0
Fresno County,6019,20001121,0
Fresno County,6019,20001128,0
Fresno County,6019,20001205,0
Fresno County,6019,20001212,0
Fresno County,6019,20001219,0
Fresno County,6019,20001226,0
Fresno County,6019,20010102,88
Fresno County,6019,20010109,54
Fresno County,6019,20010116,43
Fresno County,6019,20010123,31
Fresno County,6019,20010130,31
Fresno County,6019,20010206,50
Fresno County,6019,20010213,53
Fresno County,6019,20010220,50
Fresno County,6019,20010227,50
Fresno County,6019,20010306,50
Fresno County,6019,20010313,50
Fresno County,6019,20010320,50
Fresno County,6019,20010327,50
Fresno County,6019,20010403,50
Fresno County,6019,20010410,33
Fresno County,6019,20010417,31
Fresno County,6019,20010424,31
Fresno County,6019,20010501,31
Fresno County,6019,20010508,31
Fresno County,6019,20010515,62
Fresno County,6019,20010522,62
Fresno County,6019,20010529,62
Fresno County,6019,20010605,66
Fresno County,6019,20010612,66
Fresno County,6019,20010619,74
Fresno County,6019,20010626,74
Fresno County,6019,20010703,63
Fresno County,6019,20010710,12
Fresno County,6019,20010717,6
Fresno County,6019,20010724,14
Fresno County,6019,20010731,14
Fresno County,6019,20010807,14
Fresno County,6019,20010814,14
Fresno County,6019,20010821,35
Fresno County,6019,20010828,63
Fresno County,6019,20010904,63
Fresno County,6019,20010911,140
Fresno County,6019,20010918,140
Fresno County,6019,20010925,140
Fresno County,6019,20011002,140
Fresno County,6019,20011009,140
Fresno County,6019,20011016,140
Fresno County,6019,20011023,140
Fresno County,6019,20011030,135
Fresno County,6019,20011106,135
Fresno County,6019,20011113,135
Fresno County,6019,20011120,136
Fresno County,6019,20011127,124
Fresno County,6019,20011204,110
Fresno County,6019,20011211,108
Fresno County,6019,20011218,104
Fresno County,6019,20011225,47
Fresno County,6019,20020101,20
Fresno County,6019,20020108,0
Fresno County,6019,20020115,0
Fresno County,6019,20020122,0
Fresno County,6019,20020129,0
Fresno County,6019,20020205,0
Fresno County,6019,20020212,11
Fresno County,6019,20020219,9
Fresno County,6019,20020226,7
Fresno County,6019,20020305,7
Fresno County,6019,20020312,8
Fresno County,6019,20020319,34
Fresno County,6019,20020326,37
Fresno County,6019,20020402,38
Fresno County,6019,20020409,55
Fresno County,6019,20020416,66
Fresno County,6019,20020423,64
Fresno County,6019,20020430,62
Fresno County,6019,20020507,58
Fresno County,6019,20020514,60
Fresno County,6019,20020521,56
Fresno County,6019,20020528,136
Fresno County,6019,20020604,136
Fresno County,6019,20020611,137
Fresno County,6019,20020618,154
Fresno County,6019,20020625,162
Fresno County,6019,20020702,165
Fresno County,6019,20020709,166
Fresno County,6019,20020716,164
Fresno County,6019,20020723,176
Fresno County,6019,20020730,183
Fresno County,6019,20020806,179
Fresno County,6019,20020813,179
Fresno County,6019,20020820,181
Fresno County,6019,20020827,180
Fresno County,6019,20020903,180
Fresno County,6019,20020910,182
Fresno County,6019,20020917,177
Fresno County,6019,20020924,177
Fresno County,6019,20021001,159
Fresno County,6019,20021008,168
Fresno County,6019,20021015,168
Fresno County,6019,20021022,164
Fresno County,6019,20021029,160
Fresno County,6019,20021105,173
Fresno County,6019,20021112,100
Fresno County,6019,20021119,100
Fresno County,6019,20021126,100
Fresno County,6019,20021203,100
Fresno County,6019,20021210,131
Fresno County,6019,20021217,96
Fresno County,6019,20021224,36
Fresno County,6019,20021231,37
Fresno County,6019,20030107,36
Fresno County,6019,20030114,34
Fresno County,6019,20030121,28
Fresno County,6019,20030128,40
Fresno County,6019,20030204,58
Fresno County,6019,20030211,67
Fresno County,6019,20030218,59
Fresno County,6019,20030225,58
Fresno County,6019,20030304,59
Fresno County,6019,20030311,96
Fresno County,6019,20030318,86
Fresno County,6019,20030325,85
Fresno County,6019,20030401,123
Fresno County,6019,20030408,123
Fresno County,6019,20030415,43
Fresno County,6019,20030422,33
Fresno County,6019,20030429,33
Fresno County,6019,20030506,38
Fresno County,6019,20030513,11
Fresno County,6019,20030520,11
Fresno County,6019,20030527,8
Fresno County,6019,20030603,15
Fresno County,6019,20030610,14
Fresno County,6019,20030617,11
Fresno County,6019,20030624,12
Fresno County,6019,20030701,12
Fresno County,6019,20030708,25
Fresno County,6019,20030715,26
Fresno County,6019,20030722,26
Fresno County,6019,20030729,23
Fresno County,6019,20030805,24
Fresno County,6019,20030812,24
Fresno County,6019,20030819,18
Fresno County,6019,20030826,20
Fresno County,6019,20030902,31
Fresno County,6019,20030909,24
Fresno County,6019,20030916,25
Fresno County,6019,20030923,25
Fresno County,6019,20030930,22
Fresno County,6019,20031007,22
Fresno County,6019,20031014,100
Fresno County,6019,20031021,101
Fresno County,6019,20031028,168
Fresno County,6019,20031104,123
Fresno County,6019,20031111,31
Fresno County,6019,20031118,39
