taxaGroup,taxaSubgroup,species,TaxonName,commonName,stateStatus,stateListDate,fedStatus,fedListDate
Invertebrates,Gastropoda,Haliotis cracherodii,Haliotis cracherodii,Black abalone,,,FE,20110413
Invertebrates,Gastropoda,Haliotis sorenseni,Haliotis sorenseni,White abalone,,,FE,20051116
Invertebrates,Gastropoda,Helminthoglypta walkeriana,Helminthoglypta walkeriana,Morro shoulderband snail,,,FE,19950117
Invertebrates,Gastropoda,Monadenia infumata setosa,Monadenia infumata setosa,Trinity bristle snail,ST,19801002,,
Invertebrates,Crustacea - Anostraca,Branchinecta conservatio,Branchinecta conservatio,Conservancy fairy shrimp,,,FE,19940919
Invertebrates,Crustacea - Anostraca,Branchinecta longiantenna,Branchinecta longiantenna,Longhorn fairy shrimp,,,FE,19940919
Invertebrates,Crustacea - Anostraca,Branchinecta lynchi,Branchinecta lynchi,Vernal pool fairy shrimp,,,FT,19940919
Invertebrates,Crustacea - Anostraca,Branchinecta sandiegonensis,Branchinecta sandiegonensis,San Diego fairy shrimp,,,FE,19970203
Invertebrates,Crustacea - Anostraca,Streptocephalus woottoni,Streptocephalus woottoni,Riverside fairy shrimp,,,FE,19930803
Invertebrates,Crustacea - Notostraca,Lepidurus packardi,Lepidurus packardi,Vernal pool tadpole shrimp,,,FE,19940919
Invertebrates,Crustacea - Decapoda,Pacifastacus fortis,Pacifastacus fortis,Shasta crayfish,SE,19880226,FE,19880930
Invertebrates,Crustacea - Decapoda,Syncaris pacifica,Syncaris pacifica,California freshwater shrimp,SE,19801002,FE,19881031
Invertebrates,Insecta - Orthoptera,Trimerotropis infantilis,Trimerotropis infantilis,Zayante band-winged grasshopper,,,FE,19970224
Invertebrates,Insecta - Coleoptera,Cicindela ohlone,Cicindela ohlone,Ohlone tiger beetle,,,FE,20011003
Invertebrates,Insecta - Coleoptera,Desmocerus californicus dimorphus,Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,,,FT,19800915
Invertebrates,Insecta - Coleoptera,Dinacoma caseyi,Dinacoma caseyi,Casey’s June beetle,,,FE,20111024
Invertebrates,Insecta - Coleoptera,Elaphrus viridis,Elaphrus viridis,Delta green ground beetle,,,FT,19800915
Invertebrates,Insecta - Coleoptera,Polyphylla barbata,Polyphylla barbata,Mount Hermon June beetle,,,FE,19970224
Invertebrates,Insecta - Diptera,Rhaphiomidas terminatus abdominalis,Rhaphiomidas terminatus abdominalis,Delhi Sands flower-loving fly,,,FE,19930923
Invertebrates,Insecta - Lepidoptera,Apodemia mormo langei,Apodemia mormo langei,Lange’s metalmark butterfly,,,FE,19760608
Invertebrates,Insecta - Lepidoptera,Callophrys mossii bayensis,Callophrys mossii bayensis,San Bruno elfin butterfly,,,FE,19760608
Invertebrates,Insecta - Lepidoptera,Danaus plexippus,Danaus plexippus,Monarch butterfly,,,FC,20201217
Invertebrates,Insecta - Lepidoptera,Euphilotes battoides allyni,Euphilotes battoides allyni,El Segundo blue butterfly,,,FE,19760608
Invertebrates,Insecta - Lepidoptera,Euphilotes enoptes smithi,Euphilotes enoptes smithi,Smith’s blue butterfly,,,FE,19760608
Invertebrates,Insecta - Lepidoptera,Euphydryas editha bayensis,Euphydryas editha bayensis,Bay checkerspot butterfly,,,FT,19871019
Invertebrates,Insecta - Lepidoptera,Euphydryas editha quino,Euphydryas editha quino,Quino checkerspot butterfly,,,FE,19970116
Invertebrates,Insecta - Lepidoptera,Euproserpinus euterpe,Euproserpinus euterpe,Kern primrose sphinx moth,,,FT,19800509
Invertebrates,Insecta - Lepidoptera,Glaucopsyche lygdamus palosverdesensis,Glaucopsyche lygdamus palosverdesensis,Palos Verdes blue butterfly,,,FE,19800801
Invertebrates,Insecta - Lepidoptera,Lycaena hermes,Lycaena hermes,Hermes copper butterfly,,,FPT,20200108
Invertebrates,Insecta - Lepidoptera,Plebejus icarioides missionensis,Plebejus icarioides missionensis,Mission blue butterfly,,,FE,19760608
Invertebrates,Insecta - Lepidoptera,Plebejus idas lotis,Plebejus idas lotis,Lotis blue butterfly,,,FE,19760608
Invertebrates,Insecta - Lepidoptera,Pseudocopaeodes eunus obscurus,Pseudocopaeodes eunus obscurus,Carson wandering skipper,,,FE,20020807
Invertebrates,Insecta - Lepidoptera,Pyrgus ruralis lagunae,Pyrgus ruralis lagunae,Laguna Mountains skipper,,,FE,19970116
Invertebrates,Insecta - Lepidoptera,Speyeria callippe callippe,Speyeria callippe callippe,Callippe silverspot butterfly,,,FE,19971205
Invertebrates,Insecta - Lepidoptera,Speyeria zerene behrensii,Speyeria zerene behrensii,Behren’s silverspot butterfly,,,FE,19971205
Invertebrates,Insecta - Lepidoptera,Speyeria zerene hippolyta,Speyeria zerene hippolyta,Oregon silverspot butterfly,,,FT,19801015
Invertebrates,Insecta - Lepidoptera,Speyeria zerene myrtleae,Speyeria zerene myrtleae,Myrtle’s silverspot butterfly,,,FE,19920622
Invertebrates,Insecta - Hymenoptera,Bombus crotchii,Bombus crotchii,Crotch bumble bee,SC,20190618,,
Invertebrates,Insecta - Hymenoptera,Bombus franklini,Bombus franklini,Franklin's bumble bee,SC,20190618,FPE,20190813
Invertebrates,Insecta - Hymenoptera,Bombus occidentalis,Bombus occidentalis,western bumble bee,SC,20190618,,
Invertebrates,Insecta - Hymenoptera,Bombus suckleyi,Bombus suckleyi,Suckley's cuckoo bumble bee,SC,20190618,,
Fishes,Acipenseridae,Acipenser medirostris,Acipenser medirostris,Green sturgeon,,,FT,20060606
Fishes,Cyprinidae,Gila crassicauda,Gila crassicauda,Thicktail chub,SDE,19801002,,
Fishes,Cyprinidae,Gila elegans,Gila elegans,Bonytail,SE,19740110,FE,19800523
Fishes,Cyprinidae,Lavinia exilicauda chi,Lavinia exilicauda chi,Clear Lake hitch,ST,20140806,,
Fishes,Cyprinidae,Ptychocheilus lucius,Ptychocheilus lucius,Colorado pikeminnow,SE,19710627,FE,19670311
Fishes,Cyprinidae,Siphateles bicolor mohavensis,Siphateles bicolor mohavensis,Mohave tui chub,SE,19710627,FE,19701013
Fishes,Cyprinidae,Siphateles bicolor snyderi,Siphateles bicolor snyderi,Owens tui chub,SE,19740110,FE,19850904
Fishes,Catostomidae,Catostomus microps,Catostomus microps,Modoc sucker,SE,19801002,FDR,20160107
Fishes,Catostomidae,Catostomus santaanae,Catostomus santaanae,Santa Ana sucker,,,FT,20000512
Fishes,Catostomidae,Chasmistes brevirostris,Chasmistes brevirostris,Shortnose sucker,SE,19740110,FE,19880817
Fishes,Catostomidae,Deltistes luxatus,Deltistes luxatus,Lost River sucker,SE,19740110,FE,19880817
