FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
24,25,Ammospermophilus nelsoni,Mammalia,Rodentia,2019,6,14,-120.678383,36.439067,0,HUMAN_OBSERVATION,San Joaquin
38,39,Ammospermophilus nelsoni,Mammalia,Rodentia,2020,12,1,-119.920732,35.152818,0,HUMAN_OBSERVATION,San Joaquin
312,313,Buteo swainsoni,Aves,Accipitriformes,2017,2,18,-120.72329,37.098194,2,HUMAN_OBSERVATION,San Joaquin
341,342,Buteo swainsoni,Aves,Accipitriformes,2019,4,16,-121.1211,37.31905,4,HUMAN_OBSERVATION,San Joaquin
358,359,Agelaius tricolor,Aves,Passeriformes,2017,2,15,-120.62203,37.167942,530,HUMAN_OBSERVATION,San Joaquin
379,380,Riparia riparia,Aves,Passeriformes,2016,9,23,-119.41615,36.31042,2,HUMAN_OBSERVATION,San Joaquin
381,382,Buteo swainsoni,Aves,Accipitriformes,2018,2,22,-119.46009,35.887714,3,HUMAN_OBSERVATION,San Joaquin
400,401,Buteo swainsoni,Aves,Accipitriformes,2006,3,20,-120.76821,37.07064,4,HUMAN_OBSERVATION,San Joaquin
406,407,Agelaius tricolor,Aves,Passeriformes,2019,2,24,-119.57306,35.934486,200,HUMAN_OBSERVATION,San Joaquin
411,412,Buteo swainsoni,Aves,Accipitriformes,2014,10,7,-119.21201,35.255493,3,HUMAN_OBSERVATION,San Joaquin
416,417,Agelaius tricolor,Aves,Passeriformes,2019,3,21,-120.78215,36.596786,2,HUMAN_OBSERVATION,San Joaquin
427,428,Buteo swainsoni,Aves,Accipitriformes,2020,6,23,-119.43787,35.67905,1,HUMAN_OBSERVATION,San Joaquin
428,429,Buteo swainsoni,Aves,Accipitriformes,2017,4,11,-119.47415,35.36753,2,HUMAN_OBSERVATION,San Joaquin
435,436,Agelaius tricolor,Aves,Passeriformes,2007,6,9,-120.33153,35.779827,70,HUMAN_OBSERVATION,San Joaquin
471,472,Empidonax traillii,Aves,Passeriformes,2015,5,20,-120.75816,36.59512,1,HUMAN_OBSERVATION,San Joaquin
484,485,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,1,10,-120.62203,37.167942,1,HUMAN_OBSERVATION,San Joaquin
491,492,Buteo swainsoni,Aves,Accipitriformes,2011,3,20,-120.60976,37.168064,4,HUMAN_OBSERVATION,San Joaquin
499,500,Agelaius tricolor,Aves,Passeriformes,2007,2,5,-119.97345,35.794426,4,HUMAN_OBSERVATION,San Joaquin
503,504,Agelaius tricolor,Aves,Passeriformes,2016,11,5,-120.86964,37.13655,100,HUMAN_OBSERVATION,San Joaquin
515,516,Buteo swainsoni,Aves,Accipitriformes,2015,3,6,-119.76093,36.37382,2,HUMAN_OBSERVATION,San Joaquin
531,532,Buteo swainsoni,Aves,Accipitriformes,2010,4,16,-119.5455,36.03994,2,HUMAN_OBSERVATION,San Joaquin
549,550,Agelaius tricolor,Aves,Passeriformes,1981,2,7,-120.89854,36.630684,1,HUMAN_OBSERVATION,San Joaquin
552,553,Agelaius tricolor,Aves,Passeriformes,2016,10,13,-120.81785,36.59503,750,HUMAN_OBSERVATION,San Joaquin
558,559,Empidonax traillii,Aves,Passeriformes,2011,6,5,-119.64489,35.934444,3,HUMAN_OBSERVATION,San Joaquin
573,574,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,2,15,-120.62001,37.182293,1,HUMAN_OBSERVATION,San Joaquin
584,585,Buteo swainsoni,Aves,Accipitriformes,2016,3,26,-119.07738,35.362457,1,HUMAN_OBSERVATION,San Joaquin
587,588,Buteo swainsoni,Aves,Accipitriformes,2019,3,21,-119.854706,36.255554,1,HUMAN_OBSERVATION,San Joaquin
614,615,Buteo swainsoni,Aves,Accipitriformes,2004,4,17,-120.34077,36.732655,0,HUMAN_OBSERVATION,San Joaquin
618,619,Buteo swainsoni,Aves,Accipitriformes,2018,8,9,-119.891655,36.70476,2,HUMAN_OBSERVATION,San Joaquin
619,620,Buteo swainsoni,Aves,Accipitriformes,2010,4,29,-119.92055,36.371616,2,HUMAN_OBSERVATION,San Joaquin
622,623,Buteo swainsoni,Aves,Accipitriformes,2011,7,24,-119.64712,36.18929,1,HUMAN_OBSERVATION,San Joaquin
628,629,Buteo swainsoni,Aves,Accipitriformes,2006,4,16,-120.41359,36.456635,1,HUMAN_OBSERVATION,San Joaquin
630,631,Agelaius tricolor,Aves,Passeriformes,2017,4,12,-119.49793,35.844894,400,HUMAN_OBSERVATION,San Joaquin
631,632,Buteo swainsoni,Aves,Accipitriformes,2000,6,25,-119.92055,36.371616,2,HUMAN_OBSERVATION,San Joaquin
659,660,Gymnogyps californianus,Aves,Accipitriformes,2015,4,27,-119.37666,34.90416,2,HUMAN_OBSERVATION,San Joaquin
667,668,Buteo swainsoni,Aves,Accipitriformes,2012,6,2,-119.53523,36.06577,1,HUMAN_OBSERVATION,San Joaquin
700,701,Buteo swainsoni,Aves,Accipitriformes,2020,8,6,-119.34651,35.362164,2,HUMAN_OBSERVATION,San Joaquin
718,719,Agelaius tricolor,Aves,Passeriformes,2014,4,4,-120.86994,37.12963,1,HUMAN_OBSERVATION,San Joaquin
724,725,Buteo swainsoni,Aves,Accipitriformes,2019,6,17,-119.85369,36.7859,1,HUMAN_OBSERVATION,San Joaquin
751,752,Buteo swainsoni,Aves,Accipitriformes,2018,7,10,-120.78,37.19,1,HUMAN_OBSERVATION,San Joaquin
800,801,Buteo swainsoni,Aves,Accipitriformes,2020,4,23,-121.06088,37.059555,2,HUMAN_OBSERVATION,San Joaquin
880,881,Gambelia sila,Reptilia,Squamata,2019,7,14,-119.701102,35.107037,0,HUMAN_OBSERVATION,San Joaquin
917,918,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,5,19,-121.037298,36.763634,0,HUMAN_OBSERVATION,San Joaquin
972,973,Buteo swainsoni,Aves,Accipitriformes,2019,7,25,-119.908287,36.691091,0,HUMAN_OBSERVATION,San Joaquin
1070,1071,Ammospermophilus nelsoni,Mammalia,Rodentia,2019,1,4,-120.684138,36.413171,0,HUMAN_OBSERVATION,San Joaquin
1071,1072,Agelaius tricolor,Aves,Passeriformes,2019,1,29,-120.849523,36.594352,0,HUMAN_OBSERVATION,San Joaquin
1109,1110,Gambelia sila,Reptilia,Squamata,2021,4,16,-119.622863,35.121026,0,HUMAN_OBSERVATION,San Joaquin
1276,1277,Gambelia sila,Reptilia,Squamata,2017,4,2,-119.639501,35.106285,0,HUMAN_OBSERVATION,San Joaquin
1328,1329,Agelaius tricolor,Aves,Passeriformes,2019,3,3,-120.771521,37.133855,0,HUMAN_OBSERVATION,San Joaquin
1366,1367,Gymnogyps californianus,Aves,Accipitriformes,2018,11,10,-119.33848,34.912117,12,HUMAN_OBSERVATION,San Joaquin
1368,1369,Agelaius tricolor,Aves,Passeriformes,2001,3,11,-120.626495,37.17769,0,HUMAN_OBSERVATION,San Joaquin
1369,1370,Buteo swainsoni,Aves,Accipitriformes,2012,8,5,-119.64753,36.294098,1,HUMAN_OBSERVATION,San Joaquin
1396,1397,Buteo swainsoni,Aves,Accipitriformes,2015,5,3,-120.926,37.2194,2,HUMAN_OBSERVATION,San Joaquin
