fireID,firename,fireyear,firesize,buffSize_km,buffArea_acres,n_observations
1021,HUDSON,2017,1182.301,1000,3096,10
1045,GARZA,2017,48886.66,1000,20821,1
1087,WASH,2010,947.4305,1000,2771,14
1092,COTTON,2010,2037.958,1000,4283,1
1094,SCHOOL,2014,223.7788,1000,1739,230
1107,SANDY,2016,0,1000,1430,31
1108,LAKE,2020,30999.2885572,1000,3232,1
1109,DOME,2020,44211.0845875,1000,17321,24
1110,BOBCAT,2020,115997.570061,1000,19113,45
1112,DEL PUERTO,2020,390647.255599,1000,25919,90
261,SAWTOOTH COMPLEX,2006,61767.18,1000,21263,12
263,PINES,2002,61691.24,1000,27880,33
264,PALM#1,2002,94.97114,1000,948,2
271,PARADISE,2005,3081.726,1000,6825,590
283,DOS PALMAS,2008,456.4143,1000,2758,44
291,TECOPA,2010,105.7345,1000,2008,1
296,NARROWS,2010,49.86191,1000,1444,4
311,RANGE,2011,241.0146,1000,1996,1
314,EAGLE,2011,13992.99,1000,10110,20
329,BANNER FIRE,2012,5320.116,1000,7663,5
331,MOUNTAIN,2013,27523.67,1000,4308,26
351,MOFFAT,2018,1253.925,1000,5273,2
356,HAUGHTELIN,2010,2319.5,1000,3615,4
358,TOPOCK,2016,2228.4,1000,2972,6
359,SENATOR,2012,47.72357,1000,1408,147
368,DRAPER,2017,754.3,1000,4002,11
392,TECOPA,2017,26.99327,1000,1205,17
400,VIEW,2012,376.1476,1000,2327,5
409,PILOT,2016,8110.823,1000,4363,6
410,WINDY POINT,2011,541.494,1000,2171,2
414,BLUE CUT,2016,36266.55,1000,15282,1
417,STEWART,2012,10630.18,1000,8290,29
418,POWERHOUSE,2013,30267.57,1000,9729,16
505,BLAISDELL,2005,5491.788,1000,6101,1
506,COYOTE,2003,18704.78,1000,7988,7
508,BLUE CUT,2002,6821.039,1000,2855,1
512,OLD,2003,91428,1000,9371,1
518,LOUISIANA,2002,6564.211,1000,1550,1
531,TRAM,2013,59.22004,1000,1167,1
565,HACKBERRY COMPLEX 1,2005,63771.3,1000,30414,33
678,SODA,2005,449.4977,1000,2125,9
727,SAN LUIS,2005,332.2597,1000,1055,20
73,LOS FLORES,2007,4099.966,1000,5461,1
76,ELM,2005,271.6541,1000,2037,1
78,INDIAN 2,2005,188.7452,1000,1823,2
82,VERBENIA,2004,3831.371,1000,4300,3
856,HWY166,2004,65.16033,1000,1285,15
873,ROMERO,2000,1706.85,1000,3568,95
926,BECK,2000,396.3609,1000,2259,11
929,BASALT,2004,410.184,1000,2879,13
938,ROMERO,2008,766.0438,1000,1916,79
939,COTTONWOOD2,2008,796.5697,1000,2359,2
946,PARKWAY,2009,689.9021,1000,2144,6
971,ROMERO,2011,451.0401,1000,1303,21
974,SODA,2011,1533.496,1000,5293,3
