fireID,firename,fireyear,firesize,buffSize_km,buffArea_acres,n_observations
1021,HUDSON,2017,1182.301,5000,10997,10
1045,GARZA,2017,48886.66,5000,36191,11
1086,SODA,2016,2000.281,5000,18451,14
1087,WASH,2010,947.4305,5000,15530,94
1092,COTTON,2010,2037.958,5000,17931,5
1094,SCHOOL,2014,223.7788,5000,10475,310
1107,SANDY,2016,0,5000,13684,925
1108,LAKE,2020,30999.2885572,5000,8776,2
1109,DOME,2020,44211.0845875,5000,40530,31
1110,BOBCAT,2020,115997.570061,5000,35447,56
1111,MINERAL,2020,29666.8421487,5000,36157,2
1112,DEL PUERTO,2020,390647.255599,5000,68965,128
261,SAWTOOTH COMPLEX,2006,61767.18,5000,33737,17
263,PINES,2002,61691.24,5000,45164,80
264,PALM#1,2002,94.97114,5000,1806,18
271,PARADISE,2005,3081.726,5000,11261,11
283,DOS PALMAS,2008,456.4143,5000,16175,15
291,TECOPA,2010,105.7345,5000,11370,76
311,RANGE,2011,241.0146,5000,11555,8
314,EAGLE,2011,13992.99,5000,16210,195
329,BANNER FIRE,2012,5320.116,5000,8800,5
331,MOUNTAIN,2013,27523.67,5000,19020,41
332,RIVER,2013,406.8415,5000,14127,82
351,MOFFAT,2018,1253.925,5000,19549,4
356,HAUGHTELIN,2010,2319.5,5000,18081,1004
358,TOPOCK,2016,2228.4,5000,16707,186
359,SENATOR,2012,47.72357,5000,13635,92
360,ALAMO,2016,136.4,5000,14318,52
368,DRAPER,2017,754.3,5000,18386,13
392,TECOPA,2017,26.99327,5000,9655,2
400,VIEW,2012,376.1476,5000,9889,68
409,PILOT,2016,8110.823,5000,10180,2
410,WINDY POINT,2011,541.494,5000,7519,25
414,BLUE CUT,2016,36266.55,5000,28196,11
417,STEWART,2012,10630.18,5000,7796,11
418,POWERHOUSE,2013,30267.57,5000,22018,38
505,BLAISDELL,2005,5491.788,5000,8347,9
506,COYOTE,2003,18704.78,5000,17478,11
508,BLUE CUT,2002,6821.039,5000,6596,5
512,OLD,2003,91428,5000,12859,5
518,LOUISIANA,2002,6564.211,5000,6560,5
531,TRAM,2013,59.22004,5000,6467,10
565,HACKBERRY COMPLEX 1,2005,63771.3,5000,54933,12
678,SODA,2005,449.4977,5000,9266,9
721,DOS AMIGOS,2005,746.0347,5000,17217,5
727,SAN LUIS,2005,332.2597,5000,4436,222
73,LOS FLORES,2007,4099.966,5000,9675,1
76,ELM,2005,271.6541,5000,8834,3
78,INDIAN 2,2005,188.7452,5000,8965,25
82,VERBENIA,2004,3831.371,5000,8127,2
856,HWY166,2004,65.16033,5000,10399,95
873,ROMERO,2000,1706.85,5000,7717,70
911,NEW IDRIA,2003,632.0136,5000,15789,18
926,BECK,2000,396.3609,5000,11668,48
929,BASALT,2004,410.184,5000,11639,208
935,BROWN,2008,3786.915,5000,20951,255
938,ROMERO,2008,766.0438,5000,5692,226
939,COTTONWOOD2,2008,796.5697,5000,6841,44
941,AVENAL,2008,945.3325,5000,8650,1
946,PARKWAY,2009,689.9021,5000,15118,11
968,REED,2011,5899.568,5000,21624,2
971,ROMERO,2011,451.0401,5000,4760,221
974,SODA,2011,1533.496,5000,16752,24
975,TURKEY,2012,2530.048,5000,15112,15
997,MCCABE,2015,1728.974,5000,10588,8
