obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
349,Empidonax traillii,Aves,Passeriformes,2015,5,26,-121.21103,37.48008,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,5000,68965
359,Agelaius tricolor,Aves,Passeriformes,2017,2,15,-120.62203,37.167942,530,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
385,Melanerpes uropygialis,Aves,Piciformes,2017,11,1,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
485,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,1,10,-120.62203,37.167942,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
492,Buteo swainsoni,Aves,Accipitriformes,2011,3,20,-120.60976,37.168064,4,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
499,Empidonax traillii,Aves,Passeriformes,2017,5,17,-118.05599,36.562325,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,5000,14127
517,Melanerpes uropygialis,Aves,Piciformes,2011,11,22,-114.56045,34.78898,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,5000,16707
541,Melanerpes uropygialis,Aves,Piciformes,2020,3,18,-114.61373,32.72753,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
550,Agelaius tricolor,Aves,Passeriformes,1981,2,7,-120.89854,36.630684,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
574,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,2,15,-120.62001,37.182293,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
641,Melanerpes uropygialis,Aves,Piciformes,2018,10,21,-114.68413,32.699966,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,5000,14318
660,Gymnogyps californianus,Aves,Accipitriformes,2015,4,27,-119.37666,34.90416,2,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
686,Empidonax traillii,Aves,Passeriformes,2002,6,19,-114.45021,32.85585,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,5000,13635
811,Puma concolor,Mammalia,Carnivora,2020,9,11,-116.602976,33.12018,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
994,Buteo swainsoni,Aves,Accipitriformes,2018,3,26,-116.389718,33.252542,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
1292,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,3,10,-116.417604,33.369623,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,5000,16210
1321,Puma concolor,Mammalia,Carnivora,2020,12,3,-116.421742,33.369048,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,5000,16210
1419,Buteo swainsoni,Aves,Accipitriformes,2020,3,28,-116.387596,33.13865,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,5000,7796
1431,Melanerpes uropygialis,Aves,Piciformes,2016,1,16,-114.61296,32.72587,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1476,Riparia riparia,Aves,Passeriformes,2017,4,29,-118.05599,36.562325,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,5000,14127
1494,Melanerpes uropygialis,Aves,Piciformes,2014,6,4,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1538,Melanerpes uropygialis,Aves,Piciformes,2012,3,30,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1618,Melanerpes uropygialis,Aves,Piciformes,2015,12,30,-114.61296,32.72587,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1703,Gymnogyps californianus,Aves,Accipitriformes,1983,8,7,-119.36289,34.89532,8,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
1806,Buteo swainsoni,Aves,Accipitriformes,2020,4,27,-120.62203,37.167942,3,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
1820,Melanerpes uropygialis,Aves,Piciformes,2018,12,8,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
1835,Empidonax traillii,Aves,Passeriformes,2012,5,26,-116.19454,35.800976,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,5000,11370
