obsID,fireNumber
100463,1
100513,1
100790,1
100805,1
102330,1
102413,1
102727,1
103641,1
103751,1
103830,2
104064,1
104083,1
104502,1
106676,1
1067,1
106858,1
107091,1
107532,1
107987,1
108433,1
108579,1
108752,1
108767,1
10878,1
109074,1
109163,1
109402,1
109412,1
109666,1
109826,1
110172,1
110254,1
11082,1
111414,1
111621,1
111762,1
111984,1
112301,1
113507,1
114442,1
114461,1
114544,1
11521,1
115611,1
11580,1
116409,1
116602,1
116959,1
117169,2
117918,1
117932,1
118655,1
118822,1
119091,1
119238,1
119545,1
119692,1
119709,1
119999,2
121216,1
122282,1
122407,1
122867,1
123706,1
124125,1
124375,1
12485,1
124967,1
125169,1
125182,1
125281,1
126507,1
127047,1
127556,2
129190,1
129994,1
130350,1
130608,1
131155,1
131733,1
132080,1
132275,1
132344,1
132356,1
132566,1
132699,1
132863,1
133584,1
134650,1
134836,1
134851,1
134927,1
135169,1
135229,1
135269,1
135287,1
135638,1
136401,1
136752,1
136894,1
137416,1
137502,1
138372,1
138814,1
138838,1
139411,1
139662,1
139932,2
140135,1
141042,1
142520,1
142611,1
143213,1
143577,1
143608,1
144560,1
144632,1
144745,1
146078,1
146714,1
146736,1
147078,1
147415,1
148402,1
148555,1
149077,1
149870,1
150026,1
150244,1
150770,1
152609,1
154796,1
155538,1
156620,1
156635,1
157442,1
157602,1
157657,1
158776,1
158779,1
159544,1
160355,1
160440,1
160679,1
161555,2
161583,1
162904,1
163504,1
163832,1
164008,1
164323,1
164412,1
164811,1
165256,1
166131,1
166260,1
166453,1
166480,2
166926,1
168223,1
169072,1
169580,1
170551,1
170871,1
170884,1
171493,1
172085,1
173177,1
173315,1
173433,1
173637,1
173657,1
173782,1
175330,1
176527,1
176896,1
177463,1
177919,1
177971,1
178472,1
178533,1
180146,1
180606,1
181615,1
181933,1
18307,1
184202,1
184803,1
186435,1
18915,1
190686,1
190923,1
191186,1
19159,1
192361,1
192819,1
194164,1
194403,1
194598,1
194756,1
194860,1
195929,1
196081,1
196876,1
197448,1
198130,1
198298,1
198355,1
199258,1
199319,1
199382,1
200033,1
200215,1
200452,1
200794,1
201123,1
206412,1
206698,1
206762,1
207132,1
207660,1
207980,1
208022,1
208067,1
224410,1
224662,1
225181,1
225238,1
225300,1
226066,1
227175,1
227309,1
227901,1
229331,1
230383,1
230810,1
232284,1
232832,1
233013,1
233643,1
233693,1
234024,1
235480,1
238007,1
238071,1
238436,1
238468,1
238503,1
239388,1
239978,1
240025,1
240385,1
241271,1
241762,1
241873,1
241897,1
242259,1
242302,1
242566,1
242783,1
242893,1
242967,1
243226,1
243308,1
243888,1
244591,1
245100,1
245650,1
245780,1
246439,1
246518,1
248988,1
249284,1
250580,1
251329,1
251434,1
251922,1
252143,2
252936,1
253699,1
254274,1
255234,1
256424,1
257396,1
257462,1
257791,1
257936,1
259069,1
259894,1
260060,1
260918,1
261054,1
262030,1
262150,1
263266,1
263423,1
264322,1
264965,1
265718,1
269833,1
269879,1
270366,1
270559,1
270799,1
271251,1
271424,1
271867,2
272325,1
272904,1
273163,1
273395,1
273526,1
278533,1
280223,1
3439,1
3516,1
3945,1
3954,1
4077,1
43294,1
44457,1
44521,2
45,1
46067,1
46243,1
46564,1
47495,1
4755,1
47564,1
47641,1
47772,1
48118,1
48357,1
48914,2
4897,1
50520,1
51396,1
51694,1
51865,1
51941,1
52606,1
52713,1
5334,1
53958,1
54135,1
5500,1
55036,1
55741,1
55904,1
55996,1
57722,1
57964,1
58616,1
58734,1
60188,1
60303,1
60704,1
60858,1
61437,1
61622,1
61680,1
62102,1
62450,1
63719,1
63795,1
6528,1
65513,1
65983,1
6677,1
67005,1
67019,1
67063,1
68034,1
68172,1
68230,1
69094,1
6928,1
69708,1
70901,1
71032,1
71509,1
71809,1
7181,1
7213,2
73073,1
7365,1
73720,1
73819,1
7395,1
74015,1
7476,1
74796,1
75406,1
75412,1
75698,1
75946,1
76062,1
76217,1
76475,1
7700,1
77381,1
77701,1
77902,1
78221,1
78514,1
79456,1
81035,1
81296,1
81563,1
83818,1
83924,1
84072,1
84263,1
84582,1
84657,1
85081,1
85907,1
86225,1
86860,1
87102,1
87510,1
88530,1
88541,1
8859,1
88821,1
89057,1
91335,1
91830,1
92585,1
92605,1
93193,1
94400,1
96104,1
96723,1
96943,1
97645,1
97657,1
99187,1
99643,1
99859,1
