OBJECTID,obsID,kingdom,phylum,class,order_,family,genus,species,Scientific,individual,decimalLat,decimalLon,eventDate,day,month,year,basisOfRec,institutio,fireSite,fireYear,fireSize,fireID,desert,NEAR_FID_R,nearRdDist,NEAR_FID_U,nearUADist
1,464,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.286175000000000,-116.440213999999997,2017-01-29T13:15:00,29,1,2017,HUMAN_OBSERVATION,iNaturalist,PALM#1,2002,94.971140000000005,264,Sonoran,3865,186943.601480368000921,302,39246.173973185759678
2,464,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.286175000000000,-116.440213999999997,2017-01-29T13:15:00,29,1,2017,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,186943.601480368000921,302,39246.173973185759678
3,2913,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,33.375444000000002,-116.534830999999997,2017-02-26T15:58:21,26,2,2017,HUMAN_OBSERVATION,iNaturalist,COYOTE,2003,18704.779999999998836,506,Sonoran,3865,176367.379969145840732,302,34409.183257372613298
4,2971,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,,35.132071000000003,-115.434534999999997,2018-05-19T17:33:00,19,5,2018,HUMAN_OBSERVATION,iNaturalist,HACKBERRY COMPLEX 1,2005,63771.300000000002910,565,Mojave,3865,36677.311640533553145,701,72056.112160400443827
5,3258,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.139282999999999,-116.445976000000002,2018-10-13T08:55:48,13,10,2018,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.180000000000291,417,Sonoran,3865,203108.364872982056113,2259,32396.041844688865240
6,3361,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,,34.047443000000001,-116.570277000000004,2019-05-19T10:01:00,19,5,2019,HUMAN_OBSERVATION,iNaturalist,PARADISE,2005,3081.726000000000113,271,Mojave,3865,101772.627495521432138,2394,6506.404496680633201
7,6006,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.253189999999996,-115.512659999999997,2019-06-29T00:00:00,29,6,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
8,6433,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.893092000000003,-116.648405999999994,2012-12-21T00:00:00,21,12,2012,HUMAN_OBSERVATION,iNaturalist,BLAISDELL,2005,5491.787999999999556,505,Sonoran,3865,118644.362695082090795,302,7776.870800283106291
9,6442,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.250691000000003,-116.478575000000006,2021-05-26T10:13:00,26,5,2021,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,190536.655660670832731,2259,37546.625918578851270
10,6827,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.721103999999997,-116.572081999999995,2019-08-01T08:11:00,1,8,2019,HUMAN_OBSERVATION,iNaturalist,MOUNTAIN,2013,27523.669999999998254,331,Sonoran,3865,137897.076896108686924,302,6184.634204439541463
11,6996,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.154944000000000,-116.482596000000001,2021-02-19T11:01:19,19,2,2021,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.180000000000291,417,Sonoran,3865,201094.133433464070549,2259,30342.363302558907890
12,7088,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,36.690111000000002,-120.914664999999999,2022-01-03T15:21:00,3,1,2022,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.914999999999964,935,San Joaquin,3865,430514.261043296835851,2983,37317.337533864316356
13,7280,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.128107000000000,-116.496595999999997,2021-05-22T19:34:00,22,5,2021,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.180000000000291,417,Sonoran,3865,203969.746359435725026,2259,27660.604662239886238
14,7442,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Canis familiaris,,34.420462000000001,-117.868767000000005,2020-05-13T08:50:25,13,5,2020,HUMAN_OBSERVATION,iNaturalist,BOBCAT,2020,115997.570099999997183,1110,Mojave,3865,127019.146673651834135,92,14520.583534130839325
15,8449,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,35.163238999999997,-115.457143000000002,2009-05-17T00:00:00,17,5,2009,HUMAN_OBSERVATION,iNaturalist,HACKBERRY COMPLEX 1,2005,63771.300000000002910,565,Mojave,3865,33094.640174891246716,701,74334.297785032118554
16,8539,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.257227000000000,-116.479507999999996,2018-05-27T10:55:06,27,5,2018,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,189807.092889533465495,2259,38021.152216787733778
17,8805,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.351531999999999,-116.509417999999997,2021-10-31T11:35:00,31,10,2021,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,179166.607202500395942,302,36334.050353114165773
18,8845,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus nelsoni,Ammospermophilus nelsoni,,36.717083000000002,-120.928308999999999,2015-01-31T10:49:00,31,1,2015,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.914999999999964,935,San Joaquin,3865,432896.152315492276102,2983,35345.372312483006681
19,8911,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.321722000000001,-116.496453000000002,2019-03-08T10:10:00,8,3,2019,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,182552.274403131566942,302,38700.249767049142974
20,9163,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,36.706389999999999,-120.922588000000005,2020-01-04T14:33:00,4,1,2020,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.914999999999964,935,San Joaquin,3865,431925.435020407894626,2983,36132.253777860976697
21,9169,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,34.047086000000000,-116.569100000000006,2019-09-09T07:37:00,9,9,2019,HUMAN_OBSERVATION,iNaturalist,PARADISE,2005,3081.726000000000113,271,Mojave,3865,101819.744312206952600,2394,6439.469402426416309
22,9197,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.345671000000003,-116.514808000000002,2016-04-24T14:53:58,24,4,2016,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,179780.460020485421410,302,37082.427913112369424
23,9462,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.342771999999997,-116.497636999999997,2021-01-01T16:42:00,1,1,2021,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,180215.979287175228819,302,36931.989976105076494
24,9631,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.116638000000002,-116.547982000000005,2015-05-03T11:37:00,3,5,2015,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,204970.797904994629789,2259,22909.815386807560571
25,9637,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.330674000000002,-116.475288000000006,2010-01-24T15:41:00,24,1,2010,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,181722.710424426244572,302,36734.383907115981856
26,9762,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,,36.680301000000000,-120.918944999999994,2016-02-28T09:19:37,28,2,2016,HUMAN_OBSERVATION,iNaturalist,BROWN,2008,3786.914999999999964,935,San Joaquin,3865,430398.972918698156718,2983,37296.372101723194646
27,9940,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo bellii,Vireo bellii pusillus,,34.184916000000001,-116.481307999999999,2021-09-01T08:58:00,1,9,2021,HUMAN_OBSERVATION,iNaturalist,SAWTOOTH COMPLEX,2006,61767.180000000000291,261,Mojave,3865,87616.144155280344421,1123,6147.882477542354536
28,9949,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,,35.285739000000000,-115.528321000000005,2012-04-15T08:13:39,15,4,2012,HUMAN_OBSERVATION,iNaturalist,DOME,2020,44211.084589999998570,1109,Mojave,3865,20118.676009730050282,14,80065.564531699434156
29,10675,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,35.160282000000002,-115.382667999999995,2012-04-28T09:41:00,28,4,2012,HUMAN_OBSERVATION,iNaturalist,HACKBERRY COMPLEX 1,2005,63771.300000000002910,565,Mojave,3865,34326.105234312883113,701,67545.926271742791869
30,10918,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Uma,Uma inornata,Uma inornata,,33.885930999999999,-116.634963999999997,2020-06-02T00:00:00,2,6,2020,HUMAN_OBSERVATION,iNaturalist,BLAISDELL,2005,5491.787999999999556,505,Sonoran,3865,119444.460080973964068,302,6328.887160001861048
31,11055,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.331964999999997,-116.459087999999994,2017-09-25T11:34:00,25,9,2017,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,181717.030338625976583,302,35760.613494070072193
32,11133,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Danaus plexippus,,34.047519999999999,-116.567340000000002,2021-10-05T08:28:00,5,10,2021,HUMAN_OBSERVATION,iNaturalist,PARADISE,2005,3081.726000000000113,271,Mojave,3865,101783.326176343820407,2394,6446.378012997759470
33,11862,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus agassizii,Gopherus agassizii,,33.882133000000003,-116.687900999999997,2014-04-06T10:50:50,6,4,2014,HUMAN_OBSERVATION,iNaturalist,VERBENIA,2004,3831.371000000000095,82,Sonoran,3865,119916.647005641309079,302,10978.175899407080578
