fireYear,desert,fireID,funcGroup,yearsSinceFire,obsYear,ez_taxa,pre_or_post,n_years,ndvi,totalObs,area_km2,treatmentGroup,stzdObs
2000,San Joaquin,926,Birds:Passerines,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,3,2003,Aves,post,3,0.365314913708093,1,399.4220205,burned,26
2000,San Joaquin,926,Birds:Passerines,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Passerines,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,3,2003,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Raptors,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,3,2003,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Large Mammals,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,3,2003,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Tortoises,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,3,2003,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Butterflies & Moths,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,3,2003,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Woodpeckers,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,-5,1995,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,-4,1996,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,-3,1997,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,-2,1998,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,-1,1999,NA,pre,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,1,2001,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,2,2002,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,3,2003,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,4,2004,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Small Mammals,5,2005,NA,post,NA,NA,0,NA,burned,0
2000,San Joaquin,926,Birds:Rails and Geese,-5,1995,NA,pre,NA,NA,0,NA,burned,0
