"","obsYear","desert","treatmentGroup","simplified_taxa","ndvi","area_km2","ez_taxa","totalObs","stzd_totalObs","stzdTotalObs_rounded"
"1",2000,"Mojave","Burned","Large Mammals",0.2324562412992,721.5012132,"Other",0,0,0
"2",2000,"Mojave","Control","Large Mammals",0.10973983,73161.42482,"Other",0,0,0
"3",2000,"San Joaquin","Burned","Large Mammals",0.354756911622239,399.4220205,"Other",0,0,0
"4",2000,"San Joaquin","Control","Large Mammals",0.369834265,26537.13547,"Other",0,0,0
"5",2000,"Sonoran","Burned","Large Mammals",0.225908419856059,218.8631564,"Other",0,0,0
"6",2000,"Sonoran","Control","Large Mammals",0.132827836,27788.51104,"Other",0,0,0
"7",2000,"Mojave","Burned","Aquatic",0.2324562412992,721.5012132,"Other",0,0,0
"8",2000,"Mojave","Control","Aquatic",0.10973983,73161.42482,"Other",0,0,0
"9",2000,"San Joaquin","Burned","Aquatic",0.354756911622239,399.4220205,"Other",0,0,0
"10",2000,"San Joaquin","Control","Aquatic",0.369834265,26537.13547,"Other",0,0,0
"11",2000,"Sonoran","Burned","Aquatic",0.225908419856059,218.8631564,"Other",0,0,0
"12",2000,"Sonoran","Control","Aquatic",0.132827836,27788.51104,"Other",0,0,0
"13",2000,"Mojave","Burned","Beetles",0.2324562412992,721.5012132,"Other",0,0,0
"14",2000,"Mojave","Control","Beetles",0.10973983,73161.42482,"Other",0,0,0
"15",2000,"San Joaquin","Burned","Beetles",0.354756911622239,399.4220205,"Other",0,0,0
"16",2000,"San Joaquin","Control","Beetles",0.369834265,26537.13547,"Other",0,0,0
"17",2000,"Sonoran","Burned","Beetles",0.225908419856059,218.8631564,"Other",0,0,0
"18",2000,"Sonoran","Control","Beetles",0.132827836,27788.51104,"Other",0,0,0
"19",2000,"Mojave","Burned","Bees",0.2324562412992,721.5012132,"Other",0,0,0
"20",2000,"Mojave","Control","Bees",0.10973983,73161.42482,"Other",0,0,0
"21",2000,"San Joaquin","Burned","Bees",0.354756911622239,399.4220205,"Other",0,0,0
"22",2000,"San Joaquin","Control","Bees",0.369834265,26537.13547,"Other",0,0,0
"23",2000,"Sonoran","Burned","Bees",0.225908419856059,218.8631564,"Other",0,0,0
"24",2000,"Sonoran","Control","Bees",0.132827836,27788.51104,"Other",0,0,0
"25",2000,"Mojave","Burned","Tortoises",0.2324562412992,721.5012132,"Other",0,0,0
"26",2000,"Mojave","Control","Tortoises",0.10973983,73161.42482,"Other",0,0,0
"27",2000,"San Joaquin","Burned","Tortoises",0.354756911622239,399.4220205,"Other",0,0,0
"28",2000,"San Joaquin","Control","Tortoises",0.369834265,26537.13547,"Other",0,0,0
"29",2000,"Sonoran","Burned","Tortoises",0.225908419856059,218.8631564,"Other",0,0,0
"30",2000,"Sonoran","Control","Tortoises",0.132827836,27788.51104,"Other",0,0,0
"31",2000,"Mojave","Burned","Butterflies & Moths",0.2324562412992,721.5012132,"Other",0,0,0
"32",2000,"Mojave","Control","Butterflies & Moths",0.10973983,73161.42482,"Other",0,0,0
"33",2000,"San Joaquin","Burned","Butterflies & Moths",0.354756911622239,399.4220205,"Other",0,0,0
"34",2000,"San Joaquin","Control","Butterflies & Moths",0.369834265,26537.13547,"Other",0,0,0
"35",2000,"Sonoran","Burned","Butterflies & Moths",0.225908419856059,218.8631564,"Other",0,0,0
"36",2000,"Sonoran","Control","Butterflies & Moths",0.132827836,27788.51104,"Other",0,0,0
"37",2000,"Mojave","Burned","Frogs and Toads",0.2324562412992,721.5012132,"Other",0,0,0
"38",2000,"Mojave","Control","Frogs and Toads",0.10973983,73161.42482,"Other",0,0,0
"39",2000,"San Joaquin","Burned","Frogs and Toads",0.354756911622239,399.4220205,"Other",0,0,0
"40",2000,"San Joaquin","Control","Frogs and Toads",0.369834265,26537.13547,"Other",0,0,0
"41",2000,"Sonoran","Burned","Frogs and Toads",0.225908419856059,218.8631564,"Other",0,0,0
"42",2000,"Sonoran","Control","Frogs and Toads",0.132827836,27788.51104,"Other",0,0,0
"43",2000,"Mojave","Burned","Salamanders",0.2324562412992,721.5012132,"Other",0,0,0
"44",2000,"Mojave","Control","Salamanders",0.10973983,73161.42482,"Other",0,0,0
"45",2000,"San Joaquin","Burned","Salamanders",0.354756911622239,399.4220205,"Other",0,0,0
"46",2000,"San Joaquin","Control","Salamanders",0.369834265,26537.13547,"Other",0,0,0
"47",2000,"Sonoran","Burned","Salamanders",0.225908419856059,218.8631564,"Other",0,0,0
"48",2000,"Sonoran","Control","Salamanders",0.132827836,27788.51104,"Other",0,0,0
"49",2000,"Mojave","Burned","Lizards and Geckos",0.2324562412992,721.5012132,"Other",0,0,0
"50",2000,"Mojave","Control","Lizards and Geckos",0.10973983,73161.42482,"Other",0,0,0
"51",2000,"San Joaquin","Burned","Lizards and Geckos",0.354756911622239,399.4220205,"Other",0,0,0
"52",2000,"San Joaquin","Control","Lizards and Geckos",0.369834265,26537.13547,"Other",0,0,0
"53",2000,"Sonoran","Burned","Lizards and Geckos",0.225908419856059,218.8631564,"Other",0,0,0
"54",2000,"Sonoran","Control","Lizards and Geckos",0.132827836,27788.51104,"Other",0,0,0
"55",2000,"Mojave","Burned","Small Mammals",0.2324562412992,721.5012132,"Other",0,0,0
"56",2000,"Mojave","Control","Small Mammals",0.10973983,73161.42482,"Other",0,0,0
"57",2000,"San Joaquin","Burned","Small Mammals",0.354756911622239,399.4220205,"Other",0,0,0
"58",2000,"San Joaquin","Control","Small Mammals",0.369834265,26537.13547,"Other",0,0,0
"59",2000,"Sonoran","Burned","Small Mammals",0.225908419856059,218.8631564,"Other",0,0,0
"60",2000,"Sonoran","Control","Small Mammals",0.132827836,27788.51104,"Other",0,0,0
"61",2000,"Mojave","Burned","Birds:Raptors",0.2324562412992,721.5012132,"Aves",0,0,0
"62",2000,"Mojave","Control","Birds:Raptors",0.10973983,73161.42482,"Aves",13,0.17768926769789,1
"63",2000,"San Joaquin","Burned","Birds:Raptors",0.354756911622239,399.4220205,"Aves",0,0,0
"64",2000,"San Joaquin","Control","Birds:Raptors",0.369834265,26537.13547,"Aves",93,3.50452293937813,4
"65",2000,"Sonoran","Burned","Birds:Raptors",0.225908419856059,218.8631564,"Aves",0,0,0
"66",2000,"Sonoran","Control","Birds:Raptors",0.132827836,27788.51104,"Aves",6,0.215916570389948,1
"67",2000,"Mojave","Burned","Birds:Passerines",0.2324562412992,721.5012132,"Aves",0,0,0
"68",2000,"Mojave","Control","Birds:Passerines",0.10973983,73161.42482,"Aves",3495,47.7710762003172,48
"69",2000,"San Joaquin","Burned","Birds:Passerines",0.354756911622239,399.4220205,"Aves",0,0,0
"70",2000,"San Joaquin","Control","Birds:Passerines",0.369834265,26537.13547,"Aves",90,3.39147381230141,4
"71",2000,"Sonoran","Burned","Birds:Passerines",0.225908419856059,218.8631564,"Aves",0,0,0
"72",2000,"Sonoran","Control","Birds:Passerines",0.132827836,27788.51104,"Aves",37,1.33148551740468,2
"73",2000,"Mojave","Burned","Birds:Woodpeckers",0.2324562412992,721.5012132,"Aves",1,1.3859990554483,2
"74",2000,"Mojave","Control","Birds:Woodpeckers",0.10973983,73161.42482,"Aves",0,0,0
"75",2000,"San Joaquin","Burned","Birds:Woodpeckers",0.354756911622239,399.4220205,"Aves",0,0,0
"76",2000,"San Joaquin","Control","Birds:Woodpeckers",0.369834265,26537.13547,"Aves",0,0,0
"77",2000,"Sonoran","Burned","Birds:Woodpeckers",0.225908419856059,218.8631564,"Aves",0,0,0
"78",2000,"Sonoran","Control","Birds:Woodpeckers",0.132827836,27788.51104,"Aves",27,0.971624566754765,1
"79",2000,"Mojave","Burned","Birds:Rails and Geese",0.2324562412992,721.5012132,"Aves",0,0,0
"80",2000,"Mojave","Control","Birds:Rails and Geese",0.10973983,73161.42482,"Aves",0,0,0
"81",2000,"San Joaquin","Burned","Birds:Rails and Geese",0.354756911622239,399.4220205,"Aves",0,0,0
"82",2000,"San Joaquin","Control","Birds:Rails and Geese",0.369834265,26537.13547,"Aves",0,0,0
"83",2000,"Sonoran","Burned","Birds:Rails and Geese",0.225908419856059,218.8631564,"Aves",0,0,0
"84",2000,"Sonoran","Control","Birds:Rails and Geese",0.132827836,27788.51104,"Aves",1,0.0359860950649913,1
"85",2001,"Mojave","Burned","Large Mammals",0.239174953770042,721.5012132,"Other",0,0,0
"86",2001,"Mojave","Control","Large Mammals",0.124131124,73161.42482,"Other",0,0,0
"87",2001,"San Joaquin","Burned","Large Mammals",0.354435490536503,399.4220205,"Other",0,0,0
"88",2001,"San Joaquin","Control","Large Mammals",0.365446133,26537.13547,"Other",0,0,0
"89",2001,"Sonoran","Burned","Large Mammals",0.235284377216738,218.8631564,"Other",0,0,0
"90",2001,"Sonoran","Control","Large Mammals",0.141474321,27788.51104,"Other",0,0,0
"91",2001,"Mojave","Burned","Aquatic",0.239174953770042,721.5012132,"Other",0,0,0
"92",2001,"Mojave","Control","Aquatic",0.124131124,73161.42482,"Other",0,0,0
"93",2001,"San Joaquin","Burned","Aquatic",0.354435490536503,399.4220205,"Other",0,0,0
"94",2001,"San Joaquin","Control","Aquatic",0.365446133,26537.13547,"Other",0,0,0
"95",2001,"Sonoran","Burned","Aquatic",0.235284377216738,218.8631564,"Other",0,0,0
"96",2001,"Sonoran","Control","Aquatic",0.141474321,27788.51104,"Other",0,0,0
"97",2001,"Mojave","Burned","Beetles",0.239174953770042,721.5012132,"Other",0,0,0
"98",2001,"Mojave","Control","Beetles",0.124131124,73161.42482,"Other",0,0,0
"99",2001,"San Joaquin","Burned","Beetles",0.354435490536503,399.4220205,"Other",0,0,0
"100",2001,"San Joaquin","Control","Beetles",0.365446133,26537.13547,"Other",0,0,0
"101",2001,"Sonoran","Burned","Beetles",0.235284377216738,218.8631564,"Other",0,0,0
"102",2001,"Sonoran","Control","Beetles",0.141474321,27788.51104,"Other",0,0,0
"103",2001,"Mojave","Burned","Bees",0.239174953770042,721.5012132,"Other",0,0,0
"104",2001,"Mojave","Control","Bees",0.124131124,73161.42482,"Other",0,0,0
"105",2001,"San Joaquin","Burned","Bees",0.354435490536503,399.4220205,"Other",0,0,0
"106",2001,"San Joaquin","Control","Bees",0.365446133,26537.13547,"Other",0,0,0
"107",2001,"Sonoran","Burned","Bees",0.235284377216738,218.8631564,"Other",0,0,0
"108",2001,"Sonoran","Control","Bees",0.141474321,27788.51104,"Other",0,0,0
"109",2001,"Mojave","Burned","Tortoises",0.239174953770042,721.5012132,"Other",0,0,0
"110",2001,"Mojave","Control","Tortoises",0.124131124,73161.42482,"Other",0,0,0
"111",2001,"San Joaquin","Burned","Tortoises",0.354435490536503,399.4220205,"Other",0,0,0
"112",2001,"San Joaquin","Control","Tortoises",0.365446133,26537.13547,"Other",0,0,0
"113",2001,"Sonoran","Burned","Tortoises",0.235284377216738,218.8631564,"Other",0,0,0
"114",2001,"Sonoran","Control","Tortoises",0.141474321,27788.51104,"Other",0,0,0
"115",2001,"Mojave","Burned","Butterflies & Moths",0.239174953770042,721.5012132,"Other",0,0,0
"116",2001,"Mojave","Control","Butterflies & Moths",0.124131124,73161.42482,"Other",0,0,0
"117",2001,"San Joaquin","Burned","Butterflies & Moths",0.354435490536503,399.4220205,"Other",0,0,0
