species,desert,treatmentGroup,total,,,,,,,,,
Agelaius tricolor,Mojave,burned,13,,,,,,,,,
Agelaius tricolor,Mojave,never burned,1275,,,,,,,,,
Agelaius tricolor,San Joaquin,burned,24,,,,,,,,,
Agelaius tricolor,San Joaquin,never burned,2840,,,,,,,,,
Agelaius tricolor,Sonoran,burned,1,,,,,,,,,
Agelaius tricolor,Sonoran,never burned,317,,,,,,,,,
Ambystoma californiense,San Joaquin,never burned,1,,Sum of total,,,,,,,
Ammospermophilus nelsoni,San Joaquin,burned,3,,,Mojave,,San Joaquin,,Sonoran,,Grand Total
Ammospermophilus nelsoni,San Joaquin,never burned,107,,,burned,never burned,burned,never burned,burned,never burned,
Anaxyrus californicus,Mojave,burned,2,,Agelaius tricolor,13,1275,24,2840,1,317,4470
Batrachoseps stebbinsi,Mojave,never burned,1,,Ambystoma californiense,,,,1,,,1
Bombus crotchii,Mojave,never burned,6,,Ammospermophilus nelsoni,,,3,107,,,110
Bombus crotchii,San Joaquin,never burned,6,,Anaxyrus californicus,2,,,,,,2
Bombus crotchii,Sonoran,burned,1,,Batrachoseps stebbinsi,,1,,,,,1
Bombus crotchii,Sonoran,never burned,3,,Bombus crotchii,,6,,6,1,3,16
Branta hutchinsii,San Joaquin,never burned,4,,Branta hutchinsii,,,,4,,,4
Buteo swainsoni,Mojave,burned,13,,Buteo swainsoni,13,1158,26,4094,4,1114,6409
Buteo swainsoni,Mojave,never burned,1158,,Colaptes chrysoides,74,86,,,,27,187
Buteo swainsoni,San Joaquin,burned,26,,Coleonyx switaki,,,,,,3,3
Buteo swainsoni,San Joaquin,never burned,4094,,Cyprinodon macularius,,,,,8,13,21
Buteo swainsoni,Sonoran,burned,4,,Danaus plexippus,3,32,1,18,,50,104
Buteo swainsoni,Sonoran,never burned,1114,,Dinacoma caseyi,,1,,,,3,4
Colaptes chrysoides,Mojave,burned,74,,Dipodomys ingens,,,,17,,,17
