obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,FID_,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
712,Empidonax traillii,Aves,Passeriformes,2014,9,28,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
801,Buteo swainsoni,Aves,Accipitriformes,2020,4,23,-121.06088,37.059555,2,HUMAN_OBSERVATION,321,BASALT,2004,410.184,929,1000,2879
1576,Colaptes chrysoides,Aves,Piciformes,2019,5,25,-115.428116,35.176826,1,HUMAN_OBSERVATION,501,HACKBERRY COMPLEX 1,2005,63771.3,565,1000,30414
1871,Empidonax traillii,Aves,Passeriformes,2007,9,21,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
2297,Uma inornata,Reptilia,Squamata,2018,3,22,-116.574643,33.987818,NA,HUMAN_OBSERVATION,18,INDIAN 2,2005,188.7452,78,1000,1823
2872,Buteo swainsoni,Aves,Accipitriformes,2016,9,21,-116.576014,34.047979,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
3127,Canis familiaris familiaris,Mammalia,Carnivora,2019,12,10,-116.471723,33.098404,NA,HUMAN_OBSERVATION,180,STEWART,2012,10630.18,417,1000,8290
3717,Empidonax traillii,Aves,Passeriformes,2012,5,18,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
4513,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,18,-114.52603,34.75041,1,HUMAN_OBSERVATION,121,TOPOCK,2016,2228.4,358,1000,2972
4568,Empidonax traillii,Aves,Passeriformes,2009,5,27,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
4746,Empidonax traillii,Aves,Passeriformes,2012,10,11,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
5368,Empidonax traillii,Aves,Passeriformes,2000,5,20,-116.56938,34.05072,5,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
5444,Empidonax traillii,Aves,Passeriformes,2012,6,12,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
5447,Empidonax traillii,Aves,Passeriformes,2016,8,29,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
5544,Gymnogyps californianus,Aves,Accipitriformes,2020,3,7,-119.39596,34.930313,2,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
5564,Buteo swainsoni,Aves,Accipitriformes,2000,5,20,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
5591,Agelaius tricolor,Aves,Passeriformes,2009,6,22,-121.28138,37.45279,NA,HUMAN_OBSERVATION,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
5600,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,5,18,-121.28138,37.45279,1,HUMAN_OBSERVATION,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
5649,Melanerpes uropygialis,Aves,Piciformes,2019,1,29,-114.469,32.884605,3,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
5857,Melanerpes uropygialis,Aves,Piciformes,2020,3,9,-114.469,32.884605,1,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
6010,Danaus plexippus,Insecta,Lepidoptera,2020,2,15,-115.826758,33.5104,NA,HUMAN_OBSERVATION,48,DOS PALMAS,2008,456.4143,283,1000,2758
6048,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2015,5,3,-116.4149,33.050183,NA,HUMAN_OBSERVATION,94,BANNER FIRE,2012,5320.116,329,1000,7663
6107,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,2,1,-116.504036,33.312941,NA,HUMAN_OBSERVATION,30,PINES,2002,61691.24,263,1000,27880
6107,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,2,1,-116.504036,33.312941,NA,HUMAN_OBSERVATION,79,EAGLE,2011,13992.99,314,1000,10110
6247,Empidonax traillii,Aves,Passeriformes,2014,8,31,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
6308,Agelaius tricolor,Aves,Passeriformes,2018,3,25,-121.25415,37.4546,7,HUMAN_OBSERVATION,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
6378,Empidonax traillii,Aves,Passeriformes,2011,5,21,-115.83078,33.499706,NA,HUMAN_OBSERVATION,48,DOS PALMAS,2008,456.4143,283,1000,2758
6933,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,1,27,-121.28138,37.45279,1,HUMAN_OBSERVATION,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
6938,Empidonax traillii,Aves,Passeriformes,2013,8,28,-117.8687,34.4571,1,HUMAN_OBSERVATION,497,BOBCAT,2020,115997.570061,1110,1000,19113
7303,Canis familiaris,Mammalia,Carnivora,2019,1,28,-121.098885,37.081322,NA,HUMAN_OBSERVATION,279,SAN LUIS,2005,332.2597,727,1000,1055
7303,Canis familiaris,Mammalia,Carnivora,2019,1,28,-121.098885,37.081322,NA,HUMAN_OBSERVATION,305,ROMERO,2000,1706.85,873,1000,3568
