FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
535,Melanerpes uropygialis,Aves,Piciformes,2015,5,9,-114.665695,33.237083,2,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,2000,5349
556,Colaptes chrysoides,Aves,Piciformes,1977,5,26,-114.467445,32.88624,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
638,Melanerpes uropygialis,Aves,Piciformes,2013,6,4,-114.48498,34.736954,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
1621,Colaptes chrysoides,Aves,Piciformes,2017,4,22,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
1944,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,10,-121.06279,37.046436,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
1972,Melanerpes uropygialis,Aves,Piciformes,2011,11,19,-114.48765,34.74276,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
2036,Melanerpes uropygialis,Aves,Piciformes,2018,12,15,-114.45647,32.878094,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
2283,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,6,12,-116.58717,33.739422,0,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,2000,5702
2467,Empidonax traillii,Aves,Passeriformes,2020,5,18,-117.840766,34.473125,0,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
3080,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2019,11,29,-116.515814,33.219694,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,2000,26578
3109,Ammospermophilus nelsoni,Mammalia,Rodentia,2021,5,22,-119.624434,35.03124,0,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,2000,5370
3496,Melanerpes uropygialis,Aves,Piciformes,2017,6,7,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
3568,Empidonax traillii,Aves,Passeriformes,2017,9,1,-114.48765,34.74276,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
3800,Puma concolor,Mammalia,Carnivora,2019,5,30,-116.5607,34.013156,0,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,2000,3192
3881,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2016,9,11,-116.679169,33.915067,0,HUMAN_OBSERVATION,VERBENIA,2004,3831.371,82,2000,4028
4210,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2016,3,21,-116.521221,33.249303,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,2000,26578
4308,Buteo swainsoni,Aves,Accipitriformes,2019,5,6,-121.26857,37.400864,2,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,2000,29881
4544,Melanerpes uropygialis,Aves,Piciformes,2016,5,30,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
4726,Empidonax traillii,Aves,Passeriformes,2002,5,27,-116.45965,34.121082,2,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
4802,Melanerpes uropygialis,Aves,Piciformes,2003,7,7,-114.73027,32.70413,3,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
5122,Empidonax traillii,Aves,Passeriformes,2019,9,1,-117.84601,34.471138,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
5304,Melanerpes uropygialis,Aves,Piciformes,2012,3,18,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
5357,Agelaius tricolor,Aves,Passeriformes,2019,4,7,-119.42943,34.953087,13,HUMAN_OBSERVATION,SODA,2005,449.4977,678,2000,3409
5357,Agelaius tricolor,Aves,Passeriformes,2019,4,7,-119.42943,34.953087,13,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,2000,4610
5452,Colaptes chrysoides,Aves,Piciformes,2013,4,13,-115.55866,35.23258,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
5938,Vireo bellii pusillus,Aves,Passeriformes,2019,4,27,-116.643588,33.96176,0,HUMAN_OBSERVATION,VIEW,2012,376.1476,400,2000,3817
6419,Colaptes chrysoides,Aves,Piciformes,2011,11,19,-114.48765,34.74276,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
6554,Pelecanus occidentalis californicus,Aves,Pelecaniformes,2016,12,1,-115.832324,33.52084,0,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283,2000,4226
6903,Gymnogyps californianus,Aves,Accipitriformes,2019,10,8,-119.389046,34.919342,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,2000,3267
8088,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,5,26,-116.594101,33.760092,0,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,2000,5702
8906,Melanerpes uropygialis,Aves,Piciformes,2012,9,20,-116.522369,33.104198,0,HUMAN_OBSERVATION,PINES,2002,61691.24,263,2000,26578
8906,Melanerpes uropygialis,Aves,Piciformes,2012,9,20,-116.522369,33.104198,0,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,2000,5490
8929,Haliaeetus leucocephalus,Aves,Accipitriformes,2013,4,30,-121.323395,37.437794,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,2000,29881
10498,Melanerpes uropygialis,Aves,Piciformes,2018,1,19,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
10543,Buteo swainsoni,Aves,Accipitriformes,2018,4,2,-118.057526,36.593452,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,2000,3820
