year,desert,ndvi
2000,San Joaquin,0.369834265171735
2000,Mojave,0.109739829813242
2000,Sonoran,0.132827835776835
2001,San Joaquin,0.365446132989133
2001,Mojave,0.124131123836754
2001,Sonoran,0.141474320571692
2002,San Joaquin,0.3522846809136
2002,Mojave,0.106493849670542
2002,Sonoran,0.135388340766515
2003,San Joaquin,0.377407610854321
2003,Mojave,0.129836560405979
2003,Sonoran,0.144883037942219
2004,San Joaquin,0.376622462643408
2004,Mojave,0.133918084682502
2004,Sonoran,0.143292682250892
2005,San Joaquin,0.404784243094247
2005,Mojave,0.173643898411142
2005,Sonoran,0.181760726334008
2006,San Joaquin,0.377612393916494
2006,Mojave,0.133301308222772
2006,Sonoran,0.14659615444286
2007,San Joaquin,0.319747404039788
2007,Mojave,0.114108846168981
2007,Sonoran,0.13672073853703
2008,San Joaquin,0.355514039012153
2008,Mojave,0.125088657788895
2008,Sonoran,0.143396571058685
2009,San Joaquin,0.348728106369415
2009,Mojave,0.131191396939429
2009,Sonoran,0.143741245319351
2010,San Joaquin,0.408463488315864
2010,Mojave,0.137270817703012
2010,Sonoran,0.154587191198512
2011,San Joaquin,0.397013240902765
2011,Mojave,0.141780138174503
2011,Sonoran,0.146383721496363
2012,San Joaquin,0.339940646792067
2012,Mojave,0.114092706802226
2012,Sonoran,0.140788474118889
2013,San Joaquin,0.343299970635061
2013,Mojave,0.109453911220918
2013,Sonoran,0.142394357041151
2014,San Joaquin,0.313948252172237
2014,Mojave,0.114814626922536
2014,Sonoran,0.136790804241119
2015,San Joaquin,0.357176232513841
2015,Mojave,0.120059974671781
2015,Sonoran,0.133058923064808
2016,San Joaquin,0.365054884907735
2016,Mojave,0.115620539638795
2016,Sonoran,0.12962682911905
2017,San Joaquin,0.388954756865893
2017,Mojave,0.128634729473932
2017,Sonoran,0.146697379228804
2018,San Joaquin,0.350097929711001
2018,Mojave,0.113126583917222
2018,Sonoran,0.13165748785104
2019,San Joaquin,0.393655492189549
2019,Mojave,0.13708269706526
2019,Sonoran,0.154125778610643
2020,San Joaquin,0.373018555552618
2020,Mojave,0.141941168744374
2020,Sonoran,0.153296953699927
2021,San Joaquin,0.33235705516859
2021,Mojave,0.116097873468888
2021,Sonoran,0.139428149964423
