year,desert,ndvi
2000,San Joaquin,0.369834265
2000,Mojave,0.10973983
2000,Sonoran,0.132827836
2001,San Joaquin,0.365446133
2001,Mojave,0.124131124
2001,Sonoran,0.141474321
2002,San Joaquin,0.352284681
2002,Mojave,0.10649385
2002,Sonoran,0.135388341
2003,San Joaquin,0.377407611
2003,Mojave,0.12983656
2003,Sonoran,0.144883038
2004,San Joaquin,0.376622463
2004,Mojave,0.133918085
2004,Sonoran,0.143292682
2005,San Joaquin,0.404784243
2005,Mojave,0.173643898
2005,Sonoran,0.181760726
2006,San Joaquin,0.377612394
2006,Mojave,0.133301308
2006,Sonoran,0.146596154
2007,San Joaquin,0.319747404
2007,Mojave,0.114108846
2007,Sonoran,0.136720739
2008,San Joaquin,0.355514039
2008,Mojave,0.125088658
2008,Sonoran,0.143396571
2009,San Joaquin,0.348728106
2009,Mojave,0.131191397
2009,Sonoran,0.143741245
2010,San Joaquin,0.408463488
2010,Mojave,0.137270818
2010,Sonoran,0.154587191
2011,San Joaquin,0.397013241
2011,Mojave,0.141780138
2011,Sonoran,0.146383721
2012,San Joaquin,0.339940647
2012,Mojave,0.114092707
2012,Sonoran,0.140788474
2013,San Joaquin,0.343299971
2013,Mojave,0.109453911
2013,Sonoran,0.142394357
2014,San Joaquin,0.313948252
2014,Mojave,0.114814627
2014,Sonoran,0.136790804
2015,San Joaquin,0.357176233
2015,Mojave,0.120059975
2015,Sonoran,0.133058923
2016,San Joaquin,0.365054885
2016,Mojave,0.11562054
2016,Sonoran,0.129626829
2017,San Joaquin,0.388954757
2017,Mojave,0.128634729
2017,Sonoran,0.146697379
2018,San Joaquin,0.35009793
2018,Mojave,0.113126584
2018,Sonoran,0.131657488
2019,San Joaquin,0.393655492
2019,Mojave,0.137082697
2019,Sonoran,0.154125779
2020,San Joaquin,0.373018556
2020,Mojave,0.141941169
2020,Sonoran,0.153296954
2021,San Joaquin,0.332357055
2021,Mojave,0.116097873
2021,Sonoran,0.13942815
