obsID,obsYear,month,day,species,class,order,indvdlC,fireID
45,2009,5,15,Gopherus agassizii,Reptilia,Testudines,1,565
1067,2020,9,5,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
3439,2019,11,5,Puma concolor,Mammalia,Carnivora,1,417
3516,2019,6,7,Colaptes chrysoides,Aves,Piciformes,2,1109
3945,2021,5,24,Ammospermophilus nelsoni,Mammalia,Rodentia,1,1087
3954,2006,12,30,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
4077,2018,6,29,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,314
4755,2010,7,16,Colaptes chrysoides,Aves,Piciformes,2,1109
4897,2011,5,29,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1112
5334,2010,6,1,Colaptes chrysoides,Aves,Piciformes,1,1109
5500,2010,4,22,Agelaius tricolor,Aves,Passeriformes,2,941
6528,2017,2,26,Agelaius tricolor,Aves,Passeriformes,1,506
6677,2020,10,3,Empidonax traillii,Aves,Passeriformes,1,271
6928,2013,12,28,Colaptes chrysoides,Aves,Piciformes,2,1109
7181,2017,3,4,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,263
7213,2017,2,18,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,263
7213,2017,2,18,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
7365,2015,5,27,Gopherus agassizii,Reptilia,Testudines,1,673
7395,2021,5,21,Buteo swainsoni,Aves,Accipitriformes,1,283
7476,2017,9,25,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,314
7700,2020,3,9,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,263
8859,2016,9,4,Empidonax traillii,Aves,Passeriformes,1,873
10878,1998,5,16,Empidonax traillii,Aves,Passeriformes,1,565
11082,2004,4,23,Uma inornata,Reptilia,Squamata,1,531
11521,2020,1,4,Agelaius tricolor,Aves,Passeriformes,1,935
11580,2019,1,18,Agelaius tricolor,Aves,Passeriformes,1,911
12485,2020,2,6,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1111
18307,2019,6,19,Colaptes chrysoides,Aves,Piciformes,2,1109
18915,2012,2,3,Gymnogyps californianus,Aves,Accipitriformes,4,1094
19159,1975,12,4,Colaptes chrysoides,Aves,Piciformes,1,565
43294,2017,4,2,Colaptes chrysoides,Aves,Piciformes,1,1109
44457,2015,6,7,Empidonax traillii,Aves,Passeriformes,2,565
44521,2019,6,19,Haliaeetus leucocephalus,Aves,Accipitriformes,1,997
44521,2019,6,19,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1112
46067,2019,5,26,Colaptes chrysoides,Aves,Piciformes,3,1109
46243,2008,4,5,Colaptes chrysoides,Aves,Piciformes,1,1109
46564,2016,1,30,Buteo swainsoni,Aves,Accipitriformes,1,929
