fireID,fireName,fireYear,area_km2,startDate,fireMonth,totalObs,desert
73,LOS FLORES,2007,16.5919724569,20070331,4,1,Mojave
76,ELM,2005,1.09934394149,20050602,6,1,Sonoran
78,INDIAN 2,2005,0.763824675307,20050909,9,1,Sonoran
82,VERBENIA,2004,9.08715899001,20040711,7,2,Sonoran
261,SAWTOOTH COMPLEX,2006,44.6192107315,20060709,7,1,Mojave
263,PINES,2002,58.1289169958,20020729,8,17,Sonoran
264,PALM#1,2002,0.384334593741,NA,NA,1,Sonoran
271,PARADISE,2005,12.0360830381,20050622,6,23,Mojave
291,TECOPA,2010,0.427892440168,20100828,8,17,Mojave
296,"NARROWS",2010,0.201784064569,20100616,6,3,Sonoran
311,RANGE,2011,0.97535140731,NA,NA,1,Mojave
314,EAGLE,2011,39.2922794753,20200721,7,16,Sonoran
329,BANNER FIRE,2012,14.1633693639,20120524,5,2,Sonoran
331,MOUNTAIN,2013,7.83823677414,20130715,7,3,Sonoran
332,RIVER,2013,1.64642982574,20130224,2,1,Mojave
351,MOFFAT,2018,5.07445283618,20180419,5,3,Mojave
356,HAUGHTELIN,2010,9.38683624941,20100507,5,1,Sonoran
358,TOPOCK,2016,1.40985053034,20160406,4,1,Mojave
359,SENATOR,2012,0.19313050624,NA,NA,1,Sonoran
360,ALAMO,2016,0.551979193566,20160719,8,1,Sonoran
368,DRAPER,2017,2.957182336,20170912,10,3,Sonoran
392,TECOPA,2017,0.109238342858,20170911,9,1,Mojave
409,PILOT,2016,5.44564662217,20160807,8,1,Mojave
410,WINDY POINT,2011,2.19135762407,20110925,9,1,Sonoran
414,BLUE CUT,2016,72.5014365286,20160816,8,4,Mojave
417,STEWART,2012,43.0190131676,20120813,8,19,Sonoran
418,POWERHOUSE,2013,16.2504436941,20130530,6,6,Mojave
505,BLAISDELL,2005,16.9751347864,20050826,8,2,Sonoran
506,COYOTE,2003,12.4079346935,20030716,7,1,Sonoran
508,BLUE CUT,2002,13.7813683236,20020616,6,2,Mojave
512,OLD,2003,41.4838544766,20031025,11,6,Mojave
518,LOUISIANA,2002,2.78791184251,20020626,6,2,Mojave
531,TRAM,2013,0.221338987214,20130806,8,1,Sonoran
673,BLAIR,2006,0.269037741447,NA,NA,1,Mojave
678,SODA,2005,1.81905462429,20050604,6,1,San Joaquin
721,DOS AMIGOS,2005,3.01909004274,20050603,6,1,San Joaquin
727,SAN LUIS,2005,1.34460730242,NA,NA,2,San Joaquin
856,HWY166,2004,0.263694766911,NA,NA,2,San Joaquin
873,ROMERO,2000,6.90737502461,20000809,8,52,San Joaquin
911,NEW IDRIA,2003,2.55766864011,20020518,5,2,San Joaquin
926,BECK,2000,1.60402636415,NA,NA,2,San Joaquin
929,BASALT,2004,1.65995622607,20040521,5,22,San Joaquin
935,BROWN,2008,15.3251081819,20080621,6,3,San Joaquin
938,ROMERO,2008,3.1000903681,20080721,7,5,San Joaquin
939,COTTONWOOD2,2008,1.89161381425,20080710,7,1,San Joaquin
941,AVENAL,2008,3.82562484008,20080819,8,11,San Joaquin
946,PARKWAY,2009,1.69739170891,20090622,6,1,San Joaquin
971,ROMERO,2011,1.82529481796,20110723,7,1,San Joaquin
975,TURKEY,2012,10.2387414446,20120709,7,3,San Joaquin
997,MCCABE,2015,6.20223086416,20150718,7,3,San Joaquin
1021,HUDSON,2017,4.78460354409,20170718,7,1,San Joaquin
1045,GARZA,2017,197.871729614,20170709,7,2,San Joaquin
1086,SODA,2016,8.09489533647,20160604,6,4,San Joaquin
1092,COTTON,2010,8.24735699222,20100515,5,1,San Joaquin
1094,SCHOOL,2014,0.90560457405,20140430,4,4,San Joaquin
1107,SANDY,2016,0.290259137484,20160716,7,1,San Joaquin
1108,LAKE,2020,3.67010513588,20200812,9,1,Mojave
1109,DOME,2020,178.916632846,20200816,9,125,Mojave
1110,BOBCAT,2020,45.4305812693,20200906,9,9,Mojave
1111,MINERAL,2020,48.2831119289,20200713,7,1,San Joaquin
1112,DEL PUERTO,2020,67.662890316,20200816,10,15,San Joaquin
565,HACKBERRY COMPLEX 1,2005,258.073713137,20050622,6,31,Mojave
