species,common_name,taxongroup,state_status,fed_status,Migrates,habita_primary,habitat_secondary_description,main_trophic,food_primary,food_secondary1,food_secondary2,nesting,nesting_canopy_height(if applicable),foraging_substrate,foraging_substrate2,foraging_behavior,foraging_behavior_secondary,activity period,Information source
Gopherus agassizii,Agassiz's desert tortoise,reptile,endangered,threatened,,shrubland,rocky flatlands,herbivore,forbs,grasses,cacti,ground,,ground,,grazing,,morning,"Jennings, WB (1993) Foraging ecology of desert tortoise"
Ovis canadensis nelsoni,desert bighorn sheep,mammal,threatened,endangered,,shrubland,rocky canyons,herbivore,grasses,forbs,shrubs,ground,,ground,,grazing,,diurnal,
Puma concolor,puma,mammal,concern,NA,,variety,,carnivore,ungulates,rabbits,,den,,,,hunter,,nocturnal,
Colaptes chrysoides,gilded flicker,bird,endangered,NA,,desert,giant cactus forest,insectivore,insects,fruit,seeds,cavity,NA,ground,NA,ground forager,NA,,
Ammospermophilus nelsoni,Nelson's antelope squirrel,mammal,threatened,NA,,shrubland,,omnivore,grasses,shrubs,insects,burrow,,,,,,crepuscular,https://wwjournal.org/wp-content/uploads/sites/9/2021/05/Harris_WW_2019.pdf
Cyprinodon macularius,Desert pupfish,fish,endangered,endangered,FALSE,aquatic,shallow shore pools,omnivore,aquatic insects,algae,aquatic invertebrates,water,,shallow water,,,,crepuscular,https://www-jstor-org.ezproxy.library.yorku.ca/stable/pdf/3671312.pdf?refreqid=excelsior%3A0c87743dc6752abc0c44d006b7e5e28f; https://www-jstor-org.ezproxy.library.yorku.ca/stable/pdf/2422959.pdf?refreqid=excelsior%3Ab46b0333289f421b2a892319aa1748dd
Haliaeetus leucocephalus,bald eagle,bird,endangered,delisted,,forests,near large water bodies,carnivore,aquatic vertebrates,terrestrial vertebrates,carrion,tree canopy,high,freshwater,NA,aerial,aquatic,,
Agelaius tricolor,tricolored blackbird,bird,threatened,NA,,wetlands,agricultural fields,insectivore,insects,seeds,NA,shrub,low,ground,NA,ground forager,NA,,
Empidonax traillii,willow flycatcher,bird,endangered,NA,,wetlands,shrubland near water,insectivore,insects,fruit,NA,shrub,low,air,NA,aerial,NA,,
Buteo swainsoni,Swainson's hawk,bird,threatened,NA,,grasslands,agricultural fields,carnivore,terrestrial vertebrates,insects,NA,tree canopy,high,ground,air,aerial,NA,,
Uma inornata,Coachella Valley fringe-toed lizard,reptile,endangered,threatened,FALSE,desert,sand dunes,omnivore,flowers,insects,,ground,,,,gleaning,,crepuscular,
Gymnogyps californianus,California condor,bird,endangered,endangered,,shrubland,grassland,scavenger,carrion,NA,NA,cliff,NA,ground,NA,aerial,NA,,
Melanerpes uropygialis,Gila woodpecker,bird,endangered,NA,FALSE,desert,giant cactus forest or trees,omnivore,insects,fruit,small vertebrates,cavity,,bark,,,,,
Riparia riparia,bank swallow,bird,threatened,NA,TRUE,riparian,,insectivore,insects,,,burrow,,air,,aerial,,,
Bombus crotchii,Crotch bumble bee,insect,concern,NA,,,,nectivore,,,,,,,,,,,
Anaxyrus californicus,arroyo toad,amphibian,NA,endangered,,riparian,,insectivore,insects,,,water,,,,,,https://www.fws.gov/ventura/docs/species/at/Arroyo%20Toad%20Final%20Species%20Report.pdf,
Rallus obsoletus yumanensis,Yuma Ridgway's rail,bird,threatened,endangered,FALSE,wetlands,,omnivore,aquartic invertebrates,,,shrub,low,ground,,probing,,,
Canis lupus,gray wolf,mammal,NA,delisted,,,,carnivore,,,,,,,,,,,
Danaus plexippus,monarch butterfly,insect,concern,NA,,schrubland,meadows and open areas,nectivore,,,,,,,,,,,
